BCM,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"5,170",812,"1,165","1,241","2,013"
2. Các khoản giảm trừ doanh thu,110,0,3,14,13
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"5,060",812,"1,162","1,228","2,000"
4. Giá vốn hàng bán,"2,469",237,462,385,660
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"2,590",574,700,842,"1,340"
6.Doanh thu hoạt động tài chính,20,3,134,3,26
7. Chi phí tài chính,296,164,374,342,355
Trong đó :Chi phí lãi vay,296,164,374,342,355
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",569,60,455,243,"1,189"
9. Chi phí bán hàng,290,203,326,224,314
10. Chi phí quản lý doanh nghiệp,223,146,222,139,168
11. Lợi nhuận thuần từ hoạt động kinh doanh,"2,369",123,366,384,"1,718"
12. Thu nhập khác,4,11,2,8,5
13. Chi phí khác,11,7,2,13,23
14. Lợi nhuận khác,-7,5,0,-5,-18
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"2,362",128,366,379,"1,701"
16. Chi phí thuế TNDN hiện hành,312,9,66,16,168
17. Chi phí thuế TNDN hoãn lại,0,,-94,,-7
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"2,050",119,394,363,"1,540"
Lợi ích của cổ đông thiểu số,-1,1,13,19,171
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"2,051",118,381,344,"1,370"
19. Lãi cơ bản trên cổ phiếu (*),"1,827",114,244,230,"1,212"
20. Lãi suy giảm trên cổ phiếu (*),"1,827",114,244,230,"1,212"
