stock_code,transaction_date,closing_price,matched_volume,matched_value,foreign_net_volume,foreign_net_value,proprietary_net_volume,proprietary_net_value,buy_orders,buy_volume,sell_orders,sell_volume
CTG,2021-10-28,31.300000000000000000,14396300,449.370000000000000000,2426700,75.87,,,8323,25136500,10638,27430300
CTG,2023-04-27,28.350000000000000000,1978300,56.310000000000000000,289500,8.25,,,1375,4554500,1661,4502400
VIC,2022-03-16,78.100000000000000000,2950000,228.840000000000000000,-1480574,-97.95,,,5679,4600900,4422,4932500
VIC,2022-03-15,78.300000000000000000,2733900,212.270000000000000000,-1224400,-94.94,,,5137,3997000,3768,4821100
VIC,2022-03-14,78.300000000000000000,2622700,204.460000000000000000,-625600,-48.71,,,0,0,0,0
VIC,2022-03-11,79.000000000000000000,2222400,174.180000000000000000,-312200,-24.41,,,3804,3304200,3168,4262600
VIC,2022-12-28,53.500000000000000000,2089000,110.200000000000000000,-47206,-2.53,,,3774,3672100,1774,3535100
VIC,2022-12-27,53.400000000000000000,1844000,98.040000000000000000,427687,22.84,,,2803,2868400,1711,2924300
VIC,2022-12-26,52.600000000000000000,1832300,97.540000000000000000,-51990,-2.73,,,3862,3522100,2134,3966900
VIC,2022-12-23,55.100000000000000000,1866300,102.170000000000000000,-6850,-0.38,,,3708,3456000,1464,3035800
VIC,2022-12-22,55.000000000000000000,2433400,136.120000000000000000,105652,5.81,,,3157,4124500,2059,3421200
VIC,2022-12-21,54.900000000000000000,2477400,137.620000000000000000,-185078,-10.16,,,3360,4059500,1727,3470500
CTG,2023-01-27,30.350000000000000000,3426200,105.810000000000000000,-1199000,-36.39,,,2918,5189600,3872,7333400
CTG,2021-11-09,32.950000000000000000,15592100,515.360000000000000000,2874000,95.33,,,6506,26633500,13468,28849800
CTG,2024-12-11,36.350000000000000000,4390000,159.720000000000000000,43475,1.59,,,2748,8360200,3946,10495500
CTG,2024-12-10,36.350000000000000000,3293400,119.560000000000000000,-696321,-25.30,,,2551,6121600,2959,8806600
VIC,2021-11-12,94.500000000000000000,1133100,106.830000000000000000,-240600,-22.64,,,1373,1998200,2180,2634300
VIC,2021-11-10,94.900000000000000000,1680500,159.030000000000000000,-54100,-5.12,,,0,0,0,0
