LPB,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"4,300","4,250","4,502","4,817","4,956"
2. Chi phí lãi và các chi phí tương tự,"2,862","2,786","2,687","2,814","2,905"
I. Thu nhập lãi thuần,"1,438","1,464","1,815","2,003","2,051"
3. Thu nhập từ hoạt động dịch vụ,145,174,206,335,210
4. Chi phí hoạt động dịch vụ,48,61,58,65,48
II. Lãi/lỗ thuần từ hoạt động dịch vụ,97,113,148,270,162
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,7,29,29,-2,124
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,,,,34,
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-64,1,1,200,3
5. Thu nhập từ hoạt động khác,20,123,29,86,67
6. Chi phí hoạt động khác,2,12,33,19,59
VI. Lãi/lỗ thuần từ hoạt động khác,17,110,-4,67,9
"VII. Thu nhập từ góp vốn, mua cổ phần",,0,,,
VIII. Chi phí hoạt động,929,"1,063","1,145","1,509","1,027"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),566,654,843,"1,063","1,322"
X. Chi phí dự phòng rủi ro tín dụng,-37,253,106,378,210
XI. Tổng lợi nhuận trước thuế (IX-X),604,401,737,685,"1,112"
7. Chi phí thuế TNDN hiện hành,118,80,148,219,235
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,118,80,148,219,235
XIII. Lợi nhuận sau thuế (XI-XII),486,321,589,466,877
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),486,321,589,466,877
Lãi cơ bản trên cổ phiếu (BCTC),497,328,603,434,816
