LPB,Q3/2014,Q1/2015,Q2/2015,Q3/2015,Q1/2016
Giai đoạn,01/07-30/09,01/01-31/03,01/04-30/06,01/07-30/09,01/01-31/03
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"1,399","1,593","1,755","1,741","1,933"
2. Chi phí lãi và các chi phí tương tự,962,993,"1,008","1,033","1,111"
I. Thu nhập lãi thuần,437,600,747,708,821
3. Thu nhập từ hoạt động dịch vụ,9,12,15,19,22
4. Chi phí hoạt động dịch vụ,88,74,97,88,97
II. Lãi/lỗ thuần từ hoạt động dịch vụ,-78,-62,-82,-69,-75
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,-8,-5,1,40,48
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,0,0,0,0,0
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-37,9,10,0,1
5. Thu nhập từ hoạt động khác,7,4,1,1,2
6. Chi phí hoạt động khác,55,13,51,32,63
VI. Lãi/lỗ thuần từ hoạt động khác,-48,-9,-50,-32,-61
"VII. Thu nhập từ góp vốn, mua cổ phần",,,,,
VIII. Chi phí hoạt động,338,320,376,386,370
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),-72,212,251,260,364
X. Chi phí dự phòng rủi ro tín dụng,-52,98,194,112,100
XI. Tổng lợi nhuận trước thuế (IX-X),-20,114,57,147,264
7. Chi phí thuế TNDN hiện hành,,4,9,26,51
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,,4,9,26,51
XIII. Lợi nhuận sau thuế (XI-XII),-20,110,48,121,213
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),-20,110,48,121,213
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
