LPB,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"2,076","2,330","2,569","2,677","2,856"
2. Chi phí lãi và các chi phí tương tự,"1,114","1,132","1,273","1,417","1,574"
I. Thu nhập lãi thuần,962,"1,198","1,296","1,260","1,281"
3. Thu nhập từ hoạt động dịch vụ,44,31,67,30,41
4. Chi phí hoạt động dịch vụ,99,114,32,21,33
II. Lãi/lỗ thuần từ hoạt động dịch vụ,-55,-83,35,10,8
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,-8,39,59,72,-55
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,0,0,0,0,0
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-117,-114,7,12,292
5. Thu nhập từ hoạt động khác,2,1,1,4,9
6. Chi phí hoạt động khác,27,51,8,149,258
VI. Lãi/lỗ thuần từ hoạt động khác,-25,-50,-7,-145,-249
"VII. Thu nhập từ góp vốn, mua cổ phần",,,,,
VIII. Chi phí hoạt động,427,439,795,506,702
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),330,552,595,702,574
X. Chi phí dự phòng rủi ro tín dụng,126,153,112,233,133
XI. Tổng lợi nhuận trước thuế (IX-X),203,398,483,470,441
7. Chi phí thuế TNDN hiện hành,47,68,119,119,85
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,47,68,119,119,85
XIII. Lợi nhuận sau thuế (XI-XII),156,330,363,351,356
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),156,330,363,351,356
Lãi cơ bản trên cổ phiếu (BCTC),,571,564,543,551
