LPB,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"3,682","3,754","4,071","4,170","4,265"
2. Chi phí lãi và các chi phí tương tự,"2,253","2,353","2,507","2,636","2,702"
I. Thu nhập lãi thuần,"1,429","1,401","1,563","1,534","1,562"
3. Thu nhập từ hoạt động dịch vụ,127,82,120,143,248
4. Chi phí hoạt động dịch vụ,57,47,50,48,54
II. Lãi/lỗ thuần từ hoạt động dịch vụ,69,35,69,95,194
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,14,25,11,12,17
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,,,4,,
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-41,14,-28,-22,-18
5. Thu nhập từ hoạt động khác,10,40,15,13,27
6. Chi phí hoạt động khác,75,146,8,6,14
VI. Lãi/lỗ thuần từ hoạt động khác,-65,-105,6,7,13
"VII. Thu nhập từ góp vốn, mua cổ phần",,,0,,
VIII. Chi phí hoạt động,940,725,965,982,"1,241"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),465,645,661,644,528
X. Chi phí dự phòng rủi ro tín dụng,267,133,56,124,125
XI. Tổng lợi nhuận trước thuế (IX-X),199,511,605,519,403
7. Chi phí thuế TNDN hiện hành,65,101,118,106,113
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,65,101,118,106,113
XIII. Lợi nhuận sau thuế (XI-XII),134,410,487,413,289
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),134,410,487,413,289
Lãi cơ bản trên cổ phiếu (BCTC),178,544,593,490,338
