MWG,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Soát xét,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,EY,,,
Ý kiến kiểm toán,,Chấp nhận toàn phần,,,
,,,,,
TÀI SẢN,,,,,
B. VỐN CHỦ SỞ HỮU,"8,983","10,017","10,431","11,290","12,144"
I. Vốn chủ sở hữu,"8,983","10,017","10,431","11,290","12,144"
1. Vốn góp của chủ sở hữu,"4,435","4,435","4,435","4,435","4,435"
- Cổ phiếu phổ thông có quyền biểu quyết,"4,435","4,435","4,435","4,435","4,435"
- Cổ phiếu ưu đãi,,,,,
2. Thặng dư vốn cổ phần,551,551,551,555,555
3. Quyền chọn chuyển đổi trái phiếu,,,,,
4. Vốn khác của chủ sở hữu,1,1,1,1,1
5. Cổ phiếu quỹ (*),-1,-3,-4,-5,-6
6. Chênh lệch đánh giá lại tài sản,,,,,
7. Chênh lệch tỷ giá hối đoái,0,0,0,0,0
8. Quỹ đầu tư phát triển,,,,,
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,,,,,
11. Lợi nhuận sau thuế chưa phân phối,"3,990","5,025","5,440","6,295","7,150"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,-195,"3,985","3,320","3,320","3,315"
- LNST chưa phân phối kỳ này,"4,185","1,040","2,120","2,975","3,834"
12. Nguồn vốn đầu tư XDCB,,,,,
13. Lợi ích cổ đông không kiểm soát,6,7,7,8,8
14. Quỹ dự phòng tài chính,,,,,
II. Nguồn kinh phí và quỹ khác,,,,,
1. Nguồn kinh phí,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,,
TỔNG CỘNG NGUỒN VỐN,"28,140","30,405","32,767","32,353","41,708"
