BVH,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Soát xét,Chưa kiểm toán,Soát xét,Chưa kiểm toán
Công ty kiểm toán,EY,EY,,,
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận toàn phần,,,
,,,,,
TÀI SẢN,,,,,
9. Doanh thu hoa hồng chưa được hưởng,334,339,197,208,232
10. Dự phòng phải trả ngắn hạn,0,-852,0,0,0
11. Quỹ khen thưởng phúc lợi,118,41,98,139,129
12. Giao dịch mua bán lại trái phiếu Chính phủ,"20,416","20,166","20,893","16,338","15,394"
13. Dự phòng nghiệp vụ,"71,334",0,0,0,0
13.1. Dự phòng phí bảo hiểm gốc và nhận tái bảo hiểm,"5,191","5,328","5,088","5,379","5,245"
13.2. Dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,"3,119","3,044","3,406","3,337","2,968"
13.3. Dự phòng dao động lớn,82,0,0,0,0
13.4 Dự phòng toán học,"60,315","63,281","67,050","70,816","75,649"
13.5. Dự phòng chia lãi,"1,579","1,705","1,740","1,922","1,816"
13.6. Dự phòng bảo đảm cân đối,"1,048","1,053","1,055","1,058","1,144"
14. Doanh thu chưa thực hiện ngắn hạn,135,74,103,85,229
15. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,0,0,0,0,0
II. Nợ dài hạn,638,644,674,735,854
1. Phải trả người bán dài hạn,0,0,0,0,220
2. Phải trả nội bộ dài hạn,0,0,0,0,0
3. Phải trả dài hạn khác,188,197,205,215,0
4. Vay và nợ thuê tài chính dài hạn,449,448,470,520,633
5. Thuế thu nhập hoãn lại phải trả,1,0,0,0,2
6. Dự phòng trợ cấp mất việc làm,0,0,0,0,0
7. Dự phòng phải trả dài hạn,0,0,0,0,0
8. Doanh thu chưa thực hiện dài hạn,0,0,0,0,0
9. Quỹ phát triển khoa học và công nghệ,0,0,0,0,0
III. Công nợ tài khoản riêng,,,,,
B. VỐN CHỦ SỞ HỮU (400=410+430),"15,435","15,868","16,061","16,387","19,804"
I. Vốn chủ sở hữu,"15,435","15,868","16,061","16,387","19,804"
1. Vốn góp của chủ sở hữu,"7,009","7,009","7,009","7,009","7,423"
- Cổ phiếu phổ thông có quyền biểu quyết,"7,009","7,009","7,009","7,009","7,423"
- Cổ phiếu ưu đãi,0,0,0,0,0
2. Thặng dư vốn cổ phần,"3,713","3,713","3,713","3,713","7,310"
3. Vốn khác của chủ sở hữu,0,0,0,0,0
4. Cổ phiếu quỹ,0,0,0,0,0
5. Chênh lệch đánh giá lại tài sản,0,0,0,0,0
6. Chênh lệch tỷ giá hối đoái,15,15,15,15,15
7. Quỹ đầu tư phát triển,631,632,792,793,801
8. Quỹ dự phòng tài chính,0,0,0,0,0
9. Quỹ dự trữ bắt buộc,427,439,455,468,473
