VIC,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"9,498","10,662","23,923","15,851","19,567"
2. Các khoản giảm trừ doanh thu,38,11,37,59,29
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"9,460","10,650","23,886","15,791","19,538"
4. Giá vốn hàng bán,"7,039","7,246","16,546","10,218","13,422"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"2,420","3,404","7,340","5,573","6,116"
6.Doanh thu hoạt động tài chính,"2,520",317,"3,187",380,343
7. Chi phí tài chính,765,774,"3,045","1,477",582
Trong đó :Chi phí lãi vay,681,598,"1,778","1,506",109
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",12,-2,3,0,1
9. Chi phí bán hàng,"1,379","1,220","3,116","2,041","2,255"
10. Chi phí quản lý doanh nghiệp,863,"1,127","2,568","1,226","1,646"
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,946",598,"1,802","1,209","1,978"
12. Thu nhập khác,85,82,116,70,144
13. Chi phí khác,146,148,339,35,231
14. Lợi nhuận khác,-61,-65,-224,35,-87
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"1,885",533,"1,578","1,244","1,891"
16. Chi phí thuế TNDN hiện hành,263,287,"1,235",660,959
17. Chi phí thuế TNDN hoãn lại,-15,19,-67,-9,-84
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"1,636",226,410,593,"1,017"
Lợi ích của cổ đông thiểu số,893,51,576,-322,-122
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,743,175,-165,915,"1,139"
19. Lãi cơ bản trên cổ phiếu (*),763,634,724,506,836
20. Lãi suy giảm trên cổ phiếu (*),,,,,
