VIC,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"27,452","21,739","43,310","62,862","65,248"
2. Các khoản giảm trừ doanh thu,24,1,5,12,4
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"27,428","21,739","43,304","62,850","65,244"
4. Giá vốn hàng bán,"30,247","23,694","34,748","49,777","55,245"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"-2,819","-1,955","8,556","13,074","9,999"
6.Doanh thu hoạt động tài chính,"5,631","18,941","11,177","8,572","10,268"
7. Chi phí tài chính,"6,041","7,277","9,058","7,603","7,215"
Trong đó :Chi phí lãi vay,"5,380","4,830","5,490","5,608","6,832"
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",4,-15,412,217,163
9. Chi phí bán hàng,"3,116","3,321","5,777","5,158","6,565"
10. Chi phí quản lý doanh nghiệp,"5,047","3,436","3,857","3,511","6,114"
11. Lợi nhuận thuần từ hoạt động kinh doanh,"-11,388","2,937","1,454","5,590",537
12. Thu nhập khác,"14,175","1,076","3,155",378,"5,422"
13. Chi phí khác,"1,482","1,519",547,"1,262",527
14. Lợi nhuận khác,"12,694",-443,"2,608",-885,"4,895"
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"1,306","2,494","4,062","4,705","5,433"
16. Chi phí thuế TNDN hiện hành,15,"1,229","3,568","4,742","3,604"
17. Chi phí thuế TNDN hoãn lại,797,-70,-190,"-2,052",646
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,495,"1,335",684,"2,015","1,182"
Lợi ích của cổ đông thiểu số,653,"-6,599","4,088","-3,280",-842
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,-159,"7,934","-3,404","5,295","2,025"
19. Lãi cơ bản trên cổ phiếu (*),,,,,
20. Lãi suy giảm trên cổ phiếu (*),,,,,
