VIC,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"38,485","21,915","39,602","31,582","38,464"
2. Các khoản giảm trừ doanh thu,58,92,144,11,289
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"38,427","21,823","39,457","31,571","38,176"
4. Giá vốn hàng bán,"30,279","17,044","26,695","20,291","29,316"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"8,148","4,779","12,762","11,280","8,860"
6.Doanh thu hoạt động tài chính,"3,846","3,439",887,"1,013","8,612"
7. Chi phí tài chính,"1,174","1,453","2,093","2,496","2,092"
Trong đó :Chi phí lãi vay,"1,245","1,400","1,593","2,215","2,088"
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",-180,-94,-56,-358,-210
9. Chi phí bán hàng,"3,301","2,599","3,105","3,996","4,702"
10. Chi phí quản lý doanh nghiệp,"2,532","2,210","3,570","2,832","4,233"
11. Lợi nhuận thuần từ hoạt động kinh doanh,"4,808","1,862","4,825","2,612","6,236"
12. Thu nhập khác,344,118,145,150,386
13. Chi phí khác,163,52,77,218,367
14. Lợi nhuận khác,181,66,68,-68,19
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"4,989","1,928","4,894","2,544","6,255"
16. Chi phí thuế TNDN hiện hành,"1,680",899,"3,100","1,567","2,745"
17. Chi phí thuế TNDN hoãn lại,543,19,-549,265,-80
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"2,766","1,010","2,343",712,"3,590"
Lợi ích của cổ đông thiểu số,"1,127",-29,969,214,"-1,018"
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"1,638","1,038","1,374",498,"4,607"
19. Lãi cơ bản trên cổ phiếu (*),,349,,,
20. Lãi suy giảm trên cổ phiếu (*),,,,,
