VIC,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Soát xét,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,EY,,
Ý kiến kiểm toán,,,Chấp nhận toàn phần,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"21,980","33,190","28,452","32,751","23,460"
2. Các khoản giảm trừ doanh thu,7,1,2,10,4
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"21,972","33,189","28,451","32,741","23,456"
4. Giá vốn hàng bán,"14,967","24,024","21,664","24,506","16,883"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"7,006","9,165","6,786","8,235","6,573"
6.Doanh thu hoạt động tài chính,833,123,533,637,"2,428"
7. Chi phí tài chính,"1,339",724,"1,052","1,675","1,305"
Trong đó :Chi phí lãi vay,"1,135",554,994,"1,066","1,055"
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",-1,-4,-18,-27,-151
9. Chi phí bán hàng,"2,095","2,437","2,214","2,172","2,534"
10. Chi phí quản lý doanh nghiệp,"2,496","2,090","1,385","1,398","2,496"
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,908","4,033","2,651","3,600","2,513"
12. Thu nhập khác,128,241,99,184,202
13. Chi phí khác,251,287,96,178,98
14. Lợi nhuận khác,-122,-46,3,6,103
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,0,
15. Tổng lợi nhuận kế toán trước thuế,"1,786","3,988","2,654","3,606","2,617"
16. Chi phí thuế TNDN hiện hành,937,"1,286","1,603","2,937",918
17. Chi phí thuế TNDN hoãn lại,-54,26,19,54,172
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,903,"2,676","1,032",615,"1,527"
Lợi ích của cổ đông thiểu số,509,537,113,573,913
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,393,"2,139",919,42,614
19. Lãi cơ bản trên cổ phiếu (*),,,374,0,
20. Lãi suy giảm trên cổ phiếu (*),,,374,0,
