VIC,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"38,465","30,116","34,478","18,239","13,854"
2. Các khoản giảm trừ doanh thu,14,5,20,10,0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"38,451","30,112","34,458","18,229","13,854"
4. Giá vốn hàng bán,"28,026","18,413","26,218","18,024","18,421"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"10,425","11,698","8,240",205,"-4,567"
6.Doanh thu hoạt động tài chính,"3,907","1,536","3,212","10,738","10,666"
7. Chi phí tài chính,"2,885","2,815","2,788","2,787","4,259"
Trong đó :Chi phí lãi vay,"2,758","2,687","2,561","2,372","2,782"
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",-11,-12,-6,-4,-42
9. Chi phí bán hàng,"2,097","1,280","2,019","1,735","1,972"
10. Chi phí quản lý doanh nghiệp,"5,563","5,769","9,516","4,590","3,575"
11. Lợi nhuận thuần từ hoạt động kinh doanh,"3,777","3,359","-2,877","1,827","-3,751"
12. Thu nhập khác,168,140,485,199,"5,711"
13. Chi phí khác,327,184,"3,977",98,555
14. Lợi nhuận khác,-159,-44,"-3,492",101,"5,156"
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"3,618","3,315","-6,369","1,928","1,405"
16. Chi phí thuế TNDN hiện hành,"3,151","2,913","2,277","1,251",875
17. Chi phí thuế TNDN hoãn lại,-99,144,603,165,15
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,566,257,"-9,249",512,516
Lợi ích của cổ đông thiểu số,-646,608,"-3,285","-1,942","-2,675"
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"1,211",-351,"-5,964","2,454","3,191"
19. Lãi cơ bản trên cổ phiếu (*),,,,662,
20. Lãi suy giảm trên cổ phiếu (*),,,,,
