VIC,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"28,792","41,172","38,975","47,144","47,956"
2. Các khoản giảm trừ doanh thu,49,4,11,1,8
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"28,742","41,168","38,963","47,143","47,948"
4. Giá vốn hàng bán,"22,984","28,363","34,528","36,648","36,208"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"5,758","12,804","4,435","10,496","11,740"
6.Doanh thu hoạt động tài chính,"9,999","2,529","10,067","4,170","1,312"
7. Chi phí tài chính,"5,065","2,269","3,795","4,134","8,210"
Trong đó :Chi phí lãi vay,"3,037","2,954","3,331","3,572","5,504"
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",-31,-3,-111,-9,18
9. Chi phí bán hàng,"1,915","3,683","2,581","3,139","3,225"
10. Chi phí quản lý doanh nghiệp,"3,756","5,170","3,213","3,166","3,778"
11. Lợi nhuận thuần từ hoạt động kinh doanh,"4,990","4,208","4,802","4,217","-2,144"
12. Thu nhập khác,500,186,221,401,"7,312"
13. Chi phí khác,238,439,758,946,693
14. Lợi nhuận khác,262,-253,-538,-545,"6,620"
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"5,252","3,955","4,264","3,672","4,475"
16. Chi phí thuế TNDN hiện hành,"4,731","3,618","3,604","3,685","3,914"
17. Chi phí thuế TNDN hoãn lại,15,-74,71,-410,-6
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,506,410,589,398,567
Lợi ích của cổ đông thiểu số,-440,"-1,149",-477,"-1,468","1,236"
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,947,"1,559","1,066","1,866",-669
19. Lãi cơ bản trên cổ phiếu (*),,,,,
20. Lãi suy giảm trên cổ phiếu (*),,,,,
