VIC,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"15,471","23,251","35,990","35,923","23,305"
2. Các khoản giảm trừ doanh thu,102,43,76,102,11
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"15,368","23,207","35,914","35,821","23,294"
4. Giá vốn hàng bán,"13,383","19,554","29,613","30,241","20,009"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"1,986","3,653","6,301","5,580","3,285"
6.Doanh thu hoạt động tài chính,"8,934","6,692","4,693","11,780","7,129"
7. Chi phí tài chính,"3,606","2,623","3,101","3,520","2,770"
Trong đó :Chi phí lãi vay,"2,618","2,972","3,004","2,725","2,706"
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",-123,-41,-88,-6,-8
9. Chi phí bán hàng,"1,368","1,461","2,026","3,465","1,694"
10. Chi phí quản lý doanh nghiệp,"2,513","2,226","2,309","6,312","3,136"
11. Lợi nhuận thuần từ hoạt động kinh doanh,"3,311","3,994","3,470","4,058","2,807"
12. Thu nhập khác,195,99,206,321,187
13. Chi phí khác,78,"1,437",68,147,209
14. Lợi nhuận khác,118,"-1,338",139,174,-21
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,0
15. Tổng lợi nhuận kế toán trước thuế,"3,428","2,656","3,609","4,231","2,786"
16. Chi phí thuế TNDN hiện hành,"2,670","1,750","2,809","3,164","1,514"
17. Chi phí thuế TNDN hoãn lại,253,57,-636,-483,404
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,505,849,"1,436","1,551",868
Lợi ích của cổ đông thiểu số,67,"-1,017",-105,448,"-1,226"
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,438,"1,866","1,540","1,103","2,094"
19. Lãi cơ bản trên cổ phiếu (*),142,,,,648
20. Lãi suy giảm trên cổ phiếu (*),,,,,0
