LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Mới nhất,Mới nhất,Mới nhất,Hợp nhất,Mới nhất
Kiểm toán,VST Tính,VST Tính,VST Tính,Chưa kiểm toán,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"1,539","1,639","1,762","1,779","1,858"
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,387,413,458,430,448
Các khoản dự phòng,146,93,40,89,-28
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",21,12,-19,-27,-76
"Lãi, lỗ từ hoạt động đầu tư",-378,-401,-587,-540,-446
Chi phí lãi vay,125,120,139,146,177
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"1,840","1,875","1,794","1,877","1,933"
"Tăng, giảm các khoản phải thu",-627,73,-419,-408,170
"Tăng, giảm hàng tồn kho",-215,-100,452,-326,-358
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","1,455",121,"1,910","-2,215",794
"Tăng, giảm chi phí trả trước",-101,-38,-168,-173,-86
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,-119,-129,-123,-129,-165
Thuế thu nhập doanh nghiệp đã nộp,-114,-214,-423,-191,-206
Tiền thu khác từ hoạt động kinh doanh,,,,,
Tiền chi khác cho hoạt động kinh doanh,-15,,-91,-273,-46
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"2,102","1,588","2,932","-1,838","2,035"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-810,-600,-888,-485,-711
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",1,1,1,2,3
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","-12,924","-8,303","-13,165","-13,388","-4,840"
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","11,029","7,846","8,715","12,213","4,993"
5. Tiền chi đầu tư góp vốn vào đơn vị khác,64,-31,-135,,-149
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,,,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",477,264,284,216,709
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,"-2,164",-823,"-5,187","-1,443",5
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",58,29,,8,62
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3. Tiền thu từ đi vay,"7,015","8,713","10,302","10,053","9,014"
4. Tiền trả nợ gốc vay,"-6,306","-8,114","-7,885","-7,397","-9,756"
5. Tiền trả nợ gốc thuê tài chính,,,-1,,-2
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",-862,-908,-185,-3,-944
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,-95,-281,"2,231","2,660","-1,627"
Lưu chuyển tiền thuần trong kỳ,-157,485,-25,-621,413
Tiền và tương đương tiền đầu kỳ,"5,163","4,979","5,447","5,418","4,826"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,-27,-17,-4,29,-19
Tiền và tương đương tiền cuối kỳ,"4,979","5,447","5,418","4,826","5,220"
