PLX,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
8. Vay và nợ thuê tài chính dài hạn,"3,746","3,678","3,507","3,580","3,344"
9. Trái phiếu chuyển đổi,,,,,
10. Cổ phiếu ưu đãi (Nợ),,,,,
11. Thuế thu nhập hoãn lại phải trả,2,0,0,0,0
12. Dự phòng phải trả dài hạn,"1,275",,11,11,1
13. Quỹ phát triển khoa học và công nghệ,304,647,"1,023","1,345","2,163"
14. Dự phòng trợ cấp mất việc làm,,,,,
B. VỐN CHỦ SỞ HỮU,"13,008","13,118","11,911","12,315","10,897"
I. Vốn chủ sở hữu,"13,008","13,118","11,911","12,315","10,897"
1. Vốn góp của chủ sở hữu,"10,700","10,700","10,700","10,700","10,700"
- Cổ phiếu phổ thông có quyền biểu quyết,"10,700",,,"10,700","10,700"
- Cổ phiếu ưu đãi,,,,,
2. Thặng dư vốn cổ phần,,,,,4
3. Quyền chọn chuyển đổi trái phiếu,,,,,
4. Vốn khác của chủ sở hữu,789,792,824,857,704
5. Cổ phiếu quỹ (*),,,,,
6. Chênh lệch đánh giá lại tài sản,"-1,224","-1,224","-1,224","-1,224","-1,317"
7. Chênh lệch tỷ giá hối đoái,-85,-37,-32,-31,-45
8. Quỹ đầu tư phát triển,555,558,598,561,559
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,39,39,40,40,40
11. Lợi nhuận sau thuế chưa phân phối,"2,066","2,122",833,"1,240",78
- LNST chưa phân phối lũy kế đến cuối kỳ trước,,,,,
- LNST chưa phân phối kỳ này,,,,,
12. Nguồn vốn đầu tư XDCB,,,,,
13. Lợi ích cổ đông không kiểm soát,,,,,
14. Quỹ dự phòng tài chính,168,169,173,173,175
II. Nguồn kinh phí và quỹ khác,,,,,
1. Nguồn kinh phí,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,"2,701","2,722","2,688","2,768","2,834"
TỔNG CỘNG NGUỒN VỐN,"57,435","65,263","64,102","64,781","57,333"
