Ngày,Giá (nghìn VNĐ) - Đóng cửa,Giá (nghìn VNĐ) - Điều chỉnh,Thay đổi,GD khớp lệnh - Khối lượng,GD khớp lệnh - Giá trị (tỷ VNĐ),GD thỏa thuận - Khối lượng,GD thỏa thuận - Giá trị (tỷ VNĐ),Giá (nghìn VNĐ) - Mở cửa,Giá (nghìn VNĐ) - Cao nhất,Giá (nghìn VNĐ) - Thấp nhất
28/02/2024,19.9,18.9,0.55(2.84 %),"20,960,400",412.8,"1,325,000",26.4,19.4,19.9,19.4
27/02/2024,19.35,18.37,0.1(0.52 %),"17,762,400",343.1,"4,039,700",78.17,19.35,19.5,19.2
26/02/2024,19.25,18.28,-0.25(-1.28 %),"12,770,300",246.54,"110,001",2.21,19.55,19.55,19.2
23/02/2024,19.5,18.52,-0.2(-1.02 %),"42,130,600",837.37,"5,012,000",99.94,19.7,20.25,19.5
22/02/2024,19.7,18.71,-0.05(-0.25 %),"10,541,600",207.9,"2,015,000",39.88,19.8,19.9,19.6
21/02/2024,19.75,18.75,0.15(0.77 %),"17,579,300",347.94,"2,592,000",51.9,19.6,20,19.6
20/02/2024,19.6,18.61,-0.2(-1.01 %),"16,244,900",318.87,"3,411,500",67.54,19.7,19.75,19.5
19/02/2024,19.8,18.8,-0.05(-0.25 %),"11,047,900",218.1,"3,514,500",69.91,19.85,19.95,19.65
16/02/2024,19.85,18.85,0.05(0.25 %),"7,324,700",145.06,"1,098,000",21.74,19.95,19.95,19.7
15/02/2024,19.8,18.8,0.2(1.02 %),"19,362,100",384.49,"730,000",14.45,19.6,20.15,19.6
07/02/2024,19.6,18.61,0.3(1.55 %),"10,722,600",209,0,0,19.35,19.6,19.3
06/02/2024,19.3,18.33,0.1(0.52 %),"5,805,600",112.03,"173,400",3.33,19.3,19.4,19.2
05/02/2024,19.2,18.23,0.4(2.13 %),"10,730,400",205.75,"1,412,000",26.83,18.85,19.45,18.85
02/02/2024,18.8,17.85,-0.35(-1.83 %),"16,720,300",316.69,"3,341,000",64.03,19.15,19.2,18.8
01/02/2024,19.15,18.18,-0.25(-1.29 %),"6,507,100",124.87,"1,530,000",28.92,19.35,19.35,19.1
31/01/2024,19.4,18.42,-0.3(-1.52 %),"20,001,700",387.45,"1,400,000",27.45,19.65,19.7,19.15
30/01/2024,19.7,18.71,-0.05(-0.25 %),"6,805,100",134.39,"3,527,200",69.89,19.65,19.85,19.65
29/01/2024,19.75,18.75,0(0.00 %),"4,834,600",95.19,"55,000",1.09,19.75,19.75,19.55
26/01/2024,19.75,18.75,0.1(0.51 %),"7,546,300",148.66,0,0,19.7,19.75,19.65
25/01/2024,19.65,18.66,0(0.00 %),"5,002,000",98.26,"1,920,000",37.82,19.65,19.7,19.55
