VNM,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Soát xét,Soát xét,Soát xét,Chưa kiểm toán
Công ty kiểm toán,,KPMG,KPMG,KPMG,
Ý kiến kiểm toán,,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"13,015","13,230","14,610","14,304","14,256"
2. Các khoản giảm trừ doanh thu,12,41,11,13,17
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"13,004","13,189","14,599","14,291","14,239"
4. Giá vốn hàng bán,"6,841","7,034","7,585","7,568","7,559"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"6,163","6,155","7,014","6,723","6,680"
6.Doanh thu hoạt động tài chính,179,176,191,207,234
7. Chi phí tài chính,25,29,42,45,71
Trong đó :Chi phí lãi vay,14,20,25,28,36
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",12,-13,2,-10,14
9. Chi phí bán hàng,"3,361","2,670","3,330","3,292","3,701"
10. Chi phí quản lý doanh nghiệp,330,278,318,318,482
11. Lợi nhuận thuần từ hoạt động kinh doanh,"2,637","3,341","3,517","3,265","2,674"
12. Thu nhập khác,103,43,67,74,65
13. Chi phí khác,59,41,34,85,90
14. Lợi nhuận khác,43,2,33,-11,-25
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"2,680","3,343","3,550","3,254","2,649"
16. Chi phí thuế TNDN hiện hành,430,523,651,580,485
17. Chi phí thuế TNDN hoãn lại,-33,23,-5,-3,-12
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"2,284","2,797","2,904","2,677","2,176"
Lợi ích của cổ đông thiểu số,-15,7,5,-13,-25
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"2,299","2,791","2,899","2,690","2,202"
19. Lãi cơ bản trên cổ phiếu (*),"1,189","1,452","1,501","1,385","1,140"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
