VNM,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Soát xét,Soát xét,Soát xét,Chưa kiểm toán,Soát xét
Công ty kiểm toán,KPMG,KPMG,KPMG,,KPMG
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,,Chấp nhận toàn phần
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"14,206","15,510","15,577","14,430","13,241"
2. Các khoản giảm trừ doanh thu,53,14,14,5,50
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"14,153","15,495","15,563","14,425","13,190"
4. Giá vốn hàng bán,"7,547","8,357","8,296","7,767","7,435"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"6,606","7,138","7,267","6,658","5,755"
6.Doanh thu hoạt động tài chính,285,335,359,602,285
7. Chi phí tài chính,122,1,120,65,6
Trong đó :Chi phí lãi vay,42,38,38,26,13
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",-12,6,-6,15,-9
9. Chi phí bán hàng,"3,004","3,383","3,284","3,776","2,586"
10. Chi phí quản lý doanh nghiệp,389,374,459,736,367
11. Lợi nhuận thuần từ hoạt động kinh doanh,"3,363","3,722","3,756","2,699","3,071"
12. Thu nhập khác,37,40,85,51,120
13. Chi phí khác,41,50,64,78,38
14. Lợi nhuận khác,-5,-10,21,-27,83
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"3,358","3,711","3,777","2,672","3,154"
16. Chi phí thuế TNDN hiện hành,564,637,645,464,559
17. Chi phí thuế TNDN hoãn lại,17,-10,-6,-29,-2
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"2,777","3,085","3,138","2,236","2,597"
Lợi ích của cổ đông thiểu số,12,13,61,51,21
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"2,765","3,072","3,077","2,185","2,576"
19. Lãi cơ bản trên cổ phiếu (*),"1,427","1,586","1,323",936,"1,101"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
