VNM,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Soát xét,Chưa kiểm toán,Soát xét,Soát xét,Soát xét
Công ty kiểm toán,KPMG,,KPMG,KPMG,KPMG
Ý kiến kiểm toán,Chấp nhận toàn phần,,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"13,309","12,365","12,132","13,738","13,743"
2. Các khoản giảm trừ doanh thu,15,15,11,36,8
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"13,293","12,350","12,121","13,702","13,735"
4. Giá vốn hàng bán,"7,023","6,746","6,634","7,234","7,242"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"6,270","5,604","5,487","6,469","6,494"
6.Doanh thu hoạt động tài chính,213,198,190,205,186
7. Chi phí tài chính,18,12,19,43,30
Trong đó :Chi phí lãi vay,7,5,9,17,12
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8,23,14,-6,2
9. Chi phí bán hàng,"2,981","3,200","2,319","3,176","3,411"
10. Chi phí quản lý doanh nghiệp,265,528,240,276,287
11. Lợi nhuận thuần từ hoạt động kinh doanh,"3,228","2,084","3,113","3,173","2,954"
12. Thu nhập khác,65,61,146,61,140
13. Chi phí khác,71,59,83,73,60
14. Lợi nhuận khác,-5,1,64,-12,80
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"3,223","2,086","3,176","3,161","3,034"
16. Chi phí thuế TNDN hiện hành,528,353,505,481,459
17. Chi phí thuế TNDN hoãn lại,-2,4,-11,2,14
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"2,697","1,729","2,683","2,678","2,560"
Lợi ích của cổ đông thiểu số,3,-15,-18,11,0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"2,694","1,745","2,701","2,666","2,560"
19. Lãi cơ bản trên cổ phiếu (*),"1,669","1,070","1,677","1,662","1,323"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
