VNM,Q3/2007,Q4/2007,Q1/2008,Q2/2008,Q3/2008
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Công ty mẹ,Công ty mẹ,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"1,841","1,886","1,841","2,108","2,170"
2. Các khoản giảm trừ doanh thu,4,16,32,44,56
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"1,837","1,870","1,808","2,064","2,115"
4. Giá vốn hàng bán,"1,345","1,370","1,254","1,332","1,424"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,492,501,554,732,690
6.Doanh thu hoạt động tài chính,25,36,129,50,37
7. Chi phí tài chính,22,16,87,51,23
Trong đó :Chi phí lãi vay,3,0,,0,0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,270,263,204,234,292
10. Chi phí quản lý doanh nghiệp,53,64,58,58,58
11. Lợi nhuận thuần từ hoạt động kinh doanh,173,194,334,440,355
12. Thu nhập khác,16,20,26,15,32
13. Chi phí khác,5,10,2,2,2
14. Lợi nhuận khác,11,10,24,13,31
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,0,-14,-21,-13
15. Tổng lợi nhuận kế toán trước thuế,184,204,345,431,372
16. Chi phí thuế TNDN hiện hành,,-8,36,53,43
17. Chi phí thuế TNDN hoãn lại,,0,,-11,-9
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,184,212,309,389,337
Lợi ích của cổ đông thiểu số,,0,0,0,2
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,184,212,309,389,335
19. Lãi cơ bản trên cổ phiếu (*),"1,069",0,,0,"1,912"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
