VNM,Q1/2010,Q2/2010,Q3/2010,Q4/2010,Q1/2011
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"3,305","4,068","4,476","4,234","4,629"
2. Các khoản giảm trừ doanh thu,55,81,100,94,94
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"3,250","3,987","4,376","4,140","4,535"
4. Giá vốn hàng bán,"2,110","2,622","2,980","2,868","3,026"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"1,140","1,365","1,396","1,272","1,509"
6.Doanh thu hoạt động tài chính,91,123,111,124,133
7. Chi phí tài chính,6,36,52,60,99
Trong đó :Chi phí lãi vay,0,0,0,0,0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,242,333,406,457,342
10. Chi phí quản lý doanh nghiệp,73,85,92,139,89
11. Lợi nhuận thuần từ hoạt động kinh doanh,910,"1,035",958,740,"1,111"
12. Thu nhập khác,60,53,687,184,88
13. Chi phí khác,2,2,286,84,13
14. Lợi nhuận khác,58,51,401,99,75
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,0,0,0,0,0
15. Tổng lợi nhuận kế toán trước thuế,968,"1,086","1,358",839,"1,186"
16. Chi phí thuế TNDN hiện hành,145,163,229,109,181
17. Chi phí thuế TNDN hoãn lại,7,-8,-7,-1,-1
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,817,931,"1,137",731,"1,006"
Lợi ích của cổ đông thiểu số,-1,0,0,0,0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,818,931,"1,137",731,"1,006"
19. Lãi cơ bản trên cổ phiếu (*),"2,323","2,641","3,223","2,072","2,838"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
