VNM,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Soát xét,Soát xét,Chưa kiểm toán,Soát xét,Soát xét
Công ty kiểm toán,KPMG,KPMG,,KPMG,KPMG
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận toàn phần,,Chấp nhận toàn phần,Chấp nhận toàn phần
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"12,491","12,266","11,838","12,074","13,387"
2. Các khoản giảm trừ doanh thu,42,61,31,25,39
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"12,449","12,205","11,808","12,049","13,348"
4. Giá vốn hàng bán,"7,076","7,119","6,327","6,230","6,807"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"5,373","5,085","5,480","5,819","6,541"
6.Doanh thu hoạt động tài chính,190,169,194,200,205
7. Chi phí tài chính,16,20,34,28,29
Trong đó :Chi phí lãi vay,9,10,20,13,4
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",17,-7,-6,17,19
9. Chi phí bán hàng,"1,939","1,904","3,192","2,303","3,053"
10. Chi phí quản lý doanh nghiệp,252,277,296,234,240
11. Lợi nhuận thuần từ hoạt động kinh doanh,"3,373","3,048","2,146","3,470","3,443"
12. Thu nhập khác,16,28,95,30,57
13. Chi phí khác,27,31,36,25,56
14. Lợi nhuận khác,-11,-3,59,6,1
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"3,362","3,045","2,204","3,476","3,444"
16. Chi phí thuế TNDN hiện hành,543,499,378,528,558
17. Chi phí thuế TNDN hoãn lại,-5,-3,-2,13,-31
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"2,824","2,549","1,828","2,935","2,917"
Lợi ích của cổ đông thiểu số,9,1,-1,0,-5
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"2,815","2,549","1,829","2,935","2,922"
19. Lãi cơ bản trên cổ phiếu (*),"2,119","1,580","1,136","1,799","1,818"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
