VNM,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Soát xét,Soát xét,Soát xét,Chưa kiểm toán,Soát xét
Công ty kiểm toán,KPMG,,KPMG,,KPMG
Ý kiến kiểm toán,Chấp nhận toàn phần,,Chấp nhận toàn phần,,Chấp nhận toàn phần
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"8,771","10,520","10,577","11,138","10,370"
2. Các khoản giảm trừ doanh thu,55,20,28,39,37
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"8,716","10,500","10,549","11,099","10,333"
4. Giá vốn hàng bán,"5,607","6,113","6,199","6,682","5,993"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"3,109","4,387","4,350","4,416","4,339"
6.Doanh thu hoạt động tài chính,144,174,176,155,169
7. Chi phí tài chính,28,22,87,25,33
Trong đó :Chi phí lãi vay,8,7,8,9,8
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",-6,24,2,-8,12
9. Chi phí bán hàng,"1,150","1,687","1,666","1,754","1,665"
10. Chi phí quản lý doanh nghiệp,202,255,221,555,229
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,867","2,621","2,555","2,229","2,593"
12. Thu nhập khác,71,19,20,57,44
13. Chi phí khác,32,17,21,0,11
14. Lợi nhuận khác,38,1,-1,57,33
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,0,,,,
15. Tổng lợi nhuận kế toán trước thuế,"1,905","2,622","2,554","2,286","2,627"
16. Chi phí thuế TNDN hiện hành,355,518,394,205,464
17. Chi phí thuế TNDN hoãn lại,-10,-82,38,180,1
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"1,560","2,186","2,123","1,901","2,162"
Lợi ích của cổ đông thiểu số,3,1,-13,5,5
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"1,557","2,185","2,135","1,896","2,157"
19. Lãi cơ bản trên cổ phiếu (*),"1,402","1,973","1,602","1,423","1,620"
20. Lãi suy giảm trên cổ phiếu (*),0,,,,
