|industry_group|industry_code|industry_name
113|C|2211|Sản xuất săm, lốp cao su; đắp và tái chế lốp cao su
114|C|2219|Sản xuất sản phẩm khác từ cao su
115|C|2220|Sản xuất sản phẩm từ plastic
116|C|2310|Sản xuất thủy tinh và sản phẩm từ thủy tinh
117|C|2391|Sản xuất sản phẩm chịu lửa
118|C|2392|Sản xuất vật liệu xây dựng từ đất sét
119|C|2393|Sản xuất sản phẩm gốm sứ khác
120|C|2394|Sản xuất xi măng, vôi và thạch cao
121|C|2395|Sản xuất bê tông và các sản phẩm từ bê tông, xi măng và thạch cao
122|C|2396|Cắt tạo dáng và hoàn thiện đá
123|C|2399|Sản xuất sản phẩm từ chất khoáng phi kim loại khác chưa được phân vào đâu
124|C|2410|Sản xuất sắt, thép, gang
125|C|2420|Sản xuất kim loại quý và kim loại màu
126|C|2431|Đúc sắt, thép
127|C|2432|Đúc kim loại màu
128|C|2511|Sản xuất các cấu kiện kim loại
129|C|2512|Sản xuất thùng, bể chứa và dụng cụ chứa đựng bằng kim loại
130|C|2513|Sản xuất nồi hơi (trừ nồi hơi trung tâm)
131|C|2520|Sản xuất vũ khí và đạn dược
132|C|2591|Rèn, dập, ép và cán kim loại; luyện bột kim loại
133|C|2592|Gia công cơ khí; xử lý và tráng phủ kim loại
134|C|2593|Sản xuất dao kéo, dụng cụ cầm tay và đồ kim loại thông dụng
135|C|2599|Sản xuất sản phẩm khác bằng kim loại chưa được phân vào đâu
136|C|2610|Sản xuất linh kiện điện tử
137|C|2620|Sản xuất máy vi tính và thiết bị ngoại vi của máy vi tính
138|C|2630|Sản xuất thiết bị truyền thông
139|C|2640|Sản xuất sản phẩm điện tử dân dụng
140|C|2651|Sản xuất thiết bị đo lường, kiểm tra, định hướng và điều khiển
141|C|2652|Sản xuất đồng hồ
142|C|2660|Sản xuất thiết bị bức xạ, thiết bị điện tử trong y học, điện liệu pháp
143|C|2670|Sản xuất thiết bị và dụng cụ quang học
144|C|2680|Sản xuất băng, đĩa từ tính và quang học
145|C|2710|Sản xuất mô tơ, máy phát, biến thế điện, thiết bị phân phối và điều khiển điện
146|C|2720|Sản xuất pin và ắc quy
147|C|2731|Sản xuất dây cáp, sợi cáp quang học
148|C|2732|Sản xuất dây, cáp điện và điện tử khác
149|C|2733|Sản xuất thiết bị dây dẫn điện các loại
150|C|2740|Sản xuất thiết bị điện chiếu sáng
151|C|2750|Sản xuất đồ điện dân dụng
152|C|2790|Sản xuất thiết bị điện khác
153|C|2811|Sản xuất động cơ, tua bin (trừ động cơ máy bay, ô tô, mô tô và xe máy)
154|C|2812|Sản xuất thiết bị sử dụng năng lượng chiết lưu
155|C|2813|Sản xuất máy bơm, máy nén, vòi và van khác
156|C|2814|Sản xuất bi, bánh răng, hộp số, các bộ phận điều khiển và truyền chuyển động
157|C|2815|Sản xuất lò nướng, lò luyện và lò nung
158|C|2816|Sản xuất các thiết bị nâng, hạ và bốc xếp
159|C|2817|Sản xuất máy móc và thiết bị văn phòng (trừ máy vi tính và thiết bị ngoại vi của máy vi tính)
160|C|2818|Sản xuất dụng cụ cầm tay chạy bằng mô tơ hoặc khí nén
161|C|2819|Sản xuất máy thông dụng khác
162|C|2821|Sản xuất máy nông nghiệp và lâm nghiệp
163|C|2822|Sản xuất máy công cụ và máy tạo hình kim loại
164|C|2823|Sản xuất máy luyện kim
165|C|2824|Sản xuất máy khai thác mỏ và xây dựng
166|C|2825|Sản xuất máy chế biến thực phẩm, đồ uống và thuốc lá
167|C|2826|Sản xuất máy cho ngành dệt, may và da
168|C|2829|Sản xuất máy chuyên dụng khác
169|C|2910|Sản xuất ô tô và xe có động cơ khác
170|C|2920|Sản xuất thân xe ô tô và xe có động cơ khác, rơ moóc và bán rơ moóc
171|C|2930|Sản xuất phụ tùng và bộ phận phụ trợ cho xe ô tô và xe có động cơ khác
172|C|3011|Đóng tàu và cấu kiện nổi
173|C|3012|Đóng thuyền, xuồng thể thao và giải trí
174|C|3020|Sản xuất đầu máy xe lửa, xe điện và toa xe
175|C|3030|Sản xuất máy bay, tàu vũ trụ và máy móc liên quan
176|C|3040|Sản xuất xe cơ giới chiến đấu dùng trong quân đội
177|C|3091|Sản xuất mô tô, xe máy
178|C|3092|Sản xuất xe đạp và xe cho người khuyết tật
179|C|3099|Sản xuất phương tiện và thiết bị vận tải khác chưa được phân vào đâu
180|C|3100|Sản xuất giường, tủ, bàn, ghế
181|C|3211|Sản xuất đồ kim hoàn và chi tiết liên quan
182|C|3212|Sản xuất đồ giả kim hoàn và chi tiết liên quan
183|C|3220|Sản xuất nhạc cụ
184|C|3230|Sản xuất dụng cụ thể dục, thể thao
185|C|3240|Sản xuất đồ chơi, trò chơi
186|C|3250|Sản xuất thiết bị, dụng cụ y tế, nha khoa, chỉnh hình và phục hồi chức năng
187|C|3290|Sản xuất khác chưa được phân vào đâu
188|C|3311|Sửa chữa các sản phẩm kim loại đúc sẵn
189|C|3312|Sửa chữa máy móc, thiết bị
190|C|3313|Sửa chữa thiết bị điện tử và quang học
191|C|3314|Sửa chữa thiết bị điện
192|C|3315|Sửa chữa và bảo dưỡng phương tiện vận tải (trừ ô tô, mô tô, xe máy và xe có động cơ khác)
193|C|3319|Sửa chữa thiết bị khác
194|C|3320|Lắp đặt máy móc và thiết bị công nghiệp
195|D|3511|Sản xuất điện
196|D|3512|Truyền tải và phân phối điện
197|D|3520|Sản xuất khí đốt, phân phối nhiên liệu khí bằng đường ống
198|D|3530|Sản xuất, phân phối hơi nước, nước nóng, điều hoà không khí và sản xuất nước đá
199|E|3600|Khai thác, xử lý và cung cấp nước
200|E|3700|Thoát nước và xử lý nước thải
201|E|3811|Thu gom rác thải không độc hại
202|E|3812|Thu gom rác thải độc hại
203|E|3821|Xử lý và tiêu hủy rác thải không độc hại
204|E|3822|Xử lý và tiêu hủy rác thải độc hại
205|E|3830|Tái chế phế liệu
206|E|3900|Xử lý ô nhiễm và hoạt động quản lý chất thải khác
207|F|4101|Xây dựng nhà để ở
208|F|4102|Xây dựng nhà không để ở
209|F|4211|Xây dựng công trình đường sắt
210|F|4212|Xây dựng công trình đường bộ
211|F|4221|Xây dựng công trình điện
212|F|4222|Xây dựng công trình cấp, thoát nước
213|F|4223|Xây dựng công trình viễn thông, thông tin liên lạc
214|F|4229|Xây dựng công trình công ích khác
215|F|4291|Xây dựng công trình thủy
216|F|4292|Xây dựng công trình khai khoáng
217|F|4293|Xây dựng công trình chế biến, chế tạo
218|F|4299|Xây dựng công trình kỹ thuật dân dụng khác
219|F|4311|Phá dỡ
220|F|4312|Chuẩn bị mặt bằng
221|F|4321|Lắp đặt hệ thống điện
222|F|4322|Lắp đặt hệ thống cấp, thoát nước, hệ thống sưởi và điều hoà không khí
223|F|4329|Lắp đặt hệ thống xây dựng khác
224|F|4330|Hoàn thiện công trình xây dựng
225|F|4390|Hoạt động xây dựng chuyên dụng khác
226|G|4511|Bán buôn ô tô và xe có động cơ khác
227|G|4512|Bán lẻ ô tô con (loại 9 chỗ ngồi trở xuống)
228|G|4513|Đại lý ô tô và xe có động cơ khác
229|G|4520|Bảo dưỡng, sửa chữa ô tô và xe có động cơ khác
230|G|4530|Bán phụ tùng và các bộ phận phụ trợ của ô tô và xe có động cơ khác
231|G|4541|Bán mô tô, xe máy
232|G|4542|Bảo dưỡng và sửa chữa mô tô, xe máy
233|G|4543|Bán phụ tùng và các bộ phận phụ trợ của mô tô, xe máy
234|G|4610|Đại lý, môi giới, đấu giá hàng hóa
235|G|4620|Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống
236|G|4631|Bán buôn gạo, lúa mỳ, hạt ngũ cốc khác, bột mỳ
237|G|4632|Bán buôn thực phẩm
238|G|4633|Bán buôn đồ uống
239|G|4634|Bán buôn sản phẩm thuốc lá, thuốc lào
240|G|4641|Bán buôn vải, hàng may mặc, giày dép
241|G|4649|Bán buôn đồ dùng khác cho gia đình
242|G|4651|Bán buôn máy vi tính, thiết bị ngoại vi và phần mềm
243|G|4652|Bán buôn thiết bị và linh kiện điện tử, viễn thông
244|G|4653|Bán buôn máy móc, thiết bị và phụ tùng máy nông nghiệp
245|G|4659|Bán buôn máy móc, thiết bị và phụ tùng máy khác
246|G|4661|Bán buôn nhiên liệu rắn, lỏng, khí và các sản phẩm liên quan
247|G|4662|Bán buôn kim loại và quặng kim loại
248|G|4663|Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng
249|G|4669|Bán buôn chuyên doanh khác chưa được phân vào đâu
250|G|4690|Bán buôn tổng hợp
251|G|4711|Bán lẻ lương thực, thực phẩm, đồ uống, thuốc lá, thuốc lào chiếm tỷ trọng lớn trong các cửa hàng kinh doanh tổng hợp
252|G|4719|Bán lẻ khác trong các cửa hàng kinh doanh tổng hợp
253|G|4721|Bán lẻ lương thực trong các cửa hàng chuyên doanh
254|G|4722|Bán lẻ thực phẩm trong các cửa hàng chuyên doanh
255|G|4723|Bán lẻ đồ uống trong các cửa hàng chuyên doanh
256|G|4724|Bán lẻ sản phẩm thuốc lá, thuốc lào trong các cửa hàng chuyên doanh
257|G|4730|Bán lẻ nhiên liệu động cơ trong các cửa hàng chuyên doanh
258|G|4741|Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông trong các cửa hàng chuyên doanh
259|G|4742|Bán lẻ thiết bị nghe nhìn trong các cửa hàng chuyên doanh
260|G|4751|Bán lẻ vải, len, sợi, chỉ khâu và hàng dệt khác trong các cửa hàng chuyên doanh
261|G|4752|Bán lẻ đồ ngũ kim, sơn, kính và thiết bị lắp đặt khác trong xây dựng trong các cửa hàng chuyên doanh
262|G|4753|Bán lẻ thảm, đệm, chăn, màn, rèm, vật liệu phủ tường và sàn trong các cửa hàng chuyên doanh
263|G|4759|Bán lẻ đồ điện gia dụng, giường, tủ, bàn, ghế và đồ nội thất tương tự, đèn và bộ đèn điện, đồ dùng gia đình khác chưa được phân vào đâu trong các cửa hàng chuyên doanh
264|G|4761|Bán lẻ sách, báo, tạp chí văn phòng phẩm trong các cửa hàng chuyên doanh
265|G|4762|Bán lẻ băng đĩa âm thanh, hình ảnh (kể cả băng, đĩa trắng) trong các cửa hàng chuyên doanh
266|G|4763|Bán lẻ thiết bị, dụng cụ thể dục, thể thao trong các cửa hàng chuyên doanh
267|G|4764|Bán lẻ trò chơi, đồ chơi trong các cửa hàng chuyên doanh
268|G|4771|Bán lẻ hàng may mặc, giày dép, hàng da và giả da trong các cửa hàng chuyên doanh
269|G|4772|Bán lẻ thuốc, dụng cụ y tế, mỹ phẩm và vật phẩm vệ sinh trong các cửa hàng chuyên doanh
270|G|4773|Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh
271|G|4774|Bán lẻ hàng hóa đã qua sử dụng trong các cửa hàng chuyên doanh
272|G|4781|Bán lẻ lương thực, thực phẩm, đồ uống, thuốc lá, thuốc lào lưu động hoặc tại chợ
273|G|4782|Bán lẻ hàng dệt, may sẵn, giày dép lưu động hoặc tại chợ
274|G|4783|Bán lẻ thiết bị công nghệ thông tin liên lạc lưu động hoặc tại chợ
275|G|4784|Bán lẻ thiết bị gia đình khác lưu động hoặc tại chợ
276|G|4785|Bán lẻ hàng văn hóa, giải trí lưu động hoặc tại chợ
277|G|4789|Bán lẻ hàng hóa khác lưu động hoặc tại chợ
278|G|4791|Bán lẻ theo yêu cầu đặt hàng qua bưu điện hoặc internet
279|G|4799|Bán lẻ hình thức khác chưa được phân vào đâu
280|H|4911|Vận tải hành khách đường sắt
281|H|4912|Vận tải hàng hóa đường sắt
282|H|4921|Vận tải hành khách bằng xe buýt trong nội thành
283|H|4922|Vận tải hành khách bằng xe buýt giữa nội thành và ngoại thành, liên tỉnh
284|H|4929|Vận tải hành khách bằng xe buýt loại khác
285|H|4931|Vận tải hành khách đường bộ trong nội thành, ngoại thành (trừ vận tải bằng xe buýt)
286|H|4932|Vận tải hành khách đường bộ khác
287|H|4933|Vận tải hàng hóa bằng đường bộ
288|H|4940|Vận tải đường ống
289|H|5011|Vận tải hành khách ven biển và viễn dương
290|H|5012|Vận tải hàng hóa ven biển và viễn dương
291|H|5021|Vận tải hành khách đường thủy nội địa
292|H|5022|Vận tải hàng hóa đường thủy nội địa
293|H|5110|Vận tải hành khách hàng không
294|H|5120|Vận tải hàng hóa hàng không
295|H|5210|Kho bãi và lưu giữ hàng hóa
296|H|5221|Hoạt động dịch vụ hỗ trợ trực tiếp cho vận tải đường sắt
297|H|5222|Hoạt động dịch vụ hỗ trợ trực tiếp cho vận tải đường thủy
298|H|5223|Hoạt động dịch vụ hỗ trợ trực tiếp cho vận tải hàng không
299|H|5224|Bốc xếp hàng hóa
300|H|5225|Hoạt động dịch vụ hỗ trợ trực tiếp cho vận tải đường bộ
301|H|5229|Hoạt động dịch vụ hỗ trợ khác liên quan đến vận tải
302|H|5310|Bưu chính
303|H|5320|Chuyển phát
304|I|5510|Dịch vụ lưu trú ngắn ngày
305|I|5590|Cơ sở lưu trú khác
306|I|5610|Nhà hàng và các dịch vụ ăn uống phục vụ lưu động
307|I|5621|Cung cấp dịch vụ ăn uống theo hợp đồng không thường xuyên với khách hàng
308|I|5629|Dịch vụ ăn uống khác
309|I|5630|Dịch vụ phục vụ đồ uống
310|J|5811|Xuất bản sách
311|J|5812|Xuất bản các danh mục chỉ dẫn và địa chỉ
312|J|5813|Xuất bản báo, tạp chí và các ấn phẩm định kỳ
313|J|5819|Hoạt động xuất bản khác
314|J|5820|Xuất bản phần mềm
315|J|5911|Hoạt động sản xuất phim điện ảnh, phim video và chương trình truyền hình
316|J|5912|Hoạt động hậu kỳ
317|J|5913|Hoạt động phát hành phim điện ảnh, phim video và chương trình truyền hình
318|J|5914|Hoạt động chiếu phim
319|J|5920|Hoạt động ghi âm và xuất bản âm nhạc
320|J|6010|Hoạt động phát thanh
321|J|6021|Hoạt động truyền hình
322|J|6022|Chương trình cáp, vệ tinh và các chương trình thuê bao khác
323|J|6110|Hoạt động viễn thông có dây
324|J|6120|Hoạt động viễn thông không dây
325|J|6130|Hoạt động viễn thông vệ tinh
326|J|6190|Hoạt động viễn thông khác
327|J|6201|Lập trình máy vi tính
328|J|6202|Tư vấn máy vi tính và quản trị hệ thống máy vi tính
329|J|6209|Hoạt động dịch vụ công nghệ thông tin và dịch vụ khác liên quan đến máy vi tính
330|J|6311|Xử lý dữ liệu, cho thuê và các hoạt động liên quan
331|J|6312|Cổng thông tin
332|J|6391|Hoạt động thông tấn
333|J|6399|Dịch vụ thông tin khác chưa được phân vào đâu
334|K|6411|Hoạt động ngân hàng trung ương
335|K|6419|Hoạt động trung gian tiền tệ khác
336|K|6420|Hoạt động công ty nắm giữ tài sản
337|K|6430|Hoạt động quỹ tín thác, các quỹ và các tổ chức tài chính khác
338|K|6491|Hoạt động cho thuê tài chính
339|K|6492|Hoạt động cấp tín dụng khác
340|K|6499|Hoạt động dịch vụ tài chính khác chưa được phân vào đâu (trừ bảo hiểm và bảo hiểm xã hội)
341|K|6511|Bảo hiểm nhân thọ
342|K|6512|Bảo hiểm phi nhân thọ
343|K|6513|Bảo hiểm sức khỏe
