|stock_code|comp_name|comp_type|charter_capital|contributed_capital|ownership_ratio
0|BID|Công ty TNHH MTV Quản lý nợ và Khai thác tài sản BIDV (BAMC)|sub|30|30|100%
1|BID|Công ty TNHH Đầu tư phát triển quốc tế|sub|n/a|n/a|100%
2|BID|Ngân hàng Đầu tư và Phát triển Campuchia (BIDC)|sub|n/a|n/a|98.5%
3|BID|Công ty Chứng khoán Campuchia - Việt Nam (CVS)|sub|n/a|n/a|98.5%
4|BID|Ngân hàng Liên doanh Lào-Việt (LVB)|sub|70|45.5|65%
5|BID|CTCP Chứng khoán MHB|sub|n/a|n/a|60%
6|BID|Tổng Công ty Cổ phần Bảo hiểm Ngân hàng Đầu tư và phát triển Việt Nam|sub|1,172.77|598.19|51.01%
7|BID|Công ty Bảo hiểm Campuchia - Việt Nam (CVI)|sub|n/a|n/a|50.24%
8|BID|Công ty TNHH MTV Cho thuê Tài chính BIDV (BLC)|sub|447.8|n/a|50%
9|BID|Công ty Liên doanh bảo hiểm Lào Việt (LVI)|sub|3|n/a|33.15%
10|BID|Công ty Liên doanh Tháp BIDV|aff|262|144.1|55%
11|BID|Ngân hàng Liên doanh Việt – Nga|aff|n/a|n/a|50%
12|BID|Công ty TNHH Lương thực Campuchia - Việt Nam (Cavifoods)|aff|n/a|n/a|33%
13|BID|Công ty TNHH Bảo hiểm nhân thọ BIDV Metlife|aff|1,000|319.9|31.99%
14|BID|CTCP Cho thuê máy bay Việt Nam (VALC)|aff|n/a|n/a|18.52%
15|BVH|CTCP Đầu tư Bảo Việt|sub|200|200|100%
16|BVH|Tổng Công ty Bảo Việt Nhân thọ|sub|2,000|2,000|100%
17|BVH|Công ty TNHH Quản lý Quỹ Bảo Việt|sub|50|50|100%
18|BVH|Tổng Công ty Bảo hiểm Bảo Việt|sub|2,000|2,000|100%
19|BVH|Công ty TNHH Bảo Việt – Âu Lạc|sub|60.66|36|60%
20|BVH|Công ty Cổ phần Chứng khoán Bảo Việt|sub|722.34|432.81|59.92%
21|BVH|CTCP Đầu tư SCIC – Bảo Việt (Bảo Việt SCIC)|aff|140|70|50%
22|BVH|Ngân hàng TMCP Bảo Việt|aff|3,150|1,560|49.52%
23|BVH|CTCP Trung Nam Phú Quốc|aff|220|107.8|49%
24|BVH|Công ty Liên doanh Bảo hiểm Bảo Việt - Tokio Marine|aff|300|147|49%
25|BVH|CTCP Đầu tư và Xây dựng Long Việt (Long Việt)|aff|65.04|29.3|45%
26|BVH|CTCP Công nghệ thông tin PLT|aff|27|9.45|35%
27|CTG|Công ty TNHH MTV Quản lý nợ và Khai thác tài sản Ngân hàng TMCP Công thương Việt Nam|sub|120|120|100%
28|CTG|Công ty TNHH MTV Vàng bạc đá quý Ngân hàng TMCP Công thương Việt Nam|sub|300|300|100%
29|CTG|Công ty TNHH MTV Chuyển tiền Toàn Cầu - VietinBank|sub|50|50|100%
30|CTG|Ngân hàng TNHH Công thương Việt Nam tại Lào|sub|1,126.2|1,126.2|100%
31|CTG|Công ty TNHH MTV Cho thuê tài chính Ngân hàng TMCP Công thương Việt Nam|sub|1,000|100|100%
32|CTG|Công ty TNHH MTV Quản lý quỹ Ngân hàng TMCP Công thương Việt Nam|sub|950|950|100%
33|CTG|Công ty cổ phần Chứng khoán Ngân hàng Công thương|sub|1,444.67|1,124.99|77.87%
34|CTG|Công ty TNHH MTV Bảo hiểm Ngân hàng TMCP Công thương Việt Nam|sub|500|367|73.4%
35|FPT|Công ty TNHH Phần mềm FPT|sub|377.09|2,000|530.38%
36|FPT|Công ty TNHH FPT Smart Cloud|sub|||100%
37|FPT|Công ty TNHH Đầu tư FPT|sub|800|800|100%
38|FPT|Công ty TNHH Giáo dục FPT|sub|450|450|100%
39|FPT|Công ty TNHH Hệ thống Thông tin FPT|sub|850|850|100%
40|FPT|Công ty Cổ phần Viễn thông FPT|sub|4,925.4|2,248.61|45.65%
41|FPT|Công ty cổ phần Dịch vụ Trực tuyến FPT|sub|184.71|35.16|19.03%
42|FPT|Công ty cổ phần Bán lẻ Kỹ thuật số FPT|aff|1,184.73|634.01|53.52%
43|FPT|CTCP SYNNEX FPT|aff|1,188.4|570.4|48%
44|FPT|CTCP Công nghệ HOMA|aff|n/a|n/a|30.43%
45|FPT|Công ty Cổ phần Quản lý quỹ đầu tư FPT|aff|110|27.5|25%
46|FPT|Công ty Cổ phần Chứng khoán FPT|aff|3,059.19|537.78|17.58%
47|GAS|CTCP Sản xuất Ống thép Dầu khí (PV-PIPE)|sub|1,838.5|1,838.32|99.99%
48|GAS|Công ty cổ phần CNG Việt Nam|sub|270|151.2|56%
49|GAS|Công ty cổ phần Bọc ống Dầu khí Việt Nam|sub|216|114.34|52.94%
50|GAS|Công ty Cổ phần Kinh doanh LPG Việt Nam|sub|400|205.22|51.31%
51|GAS|Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam|sub|989.98|454.5|45.91%
52|GAS|Công ty TNHH Khí nhiên liệu giao thông vận tải PVGazprom|aff|200|58|29%
53|HPG|CTCP Thép Hòa Phát Dung Quất|sub|25,000|25,000|100%
54|HPG|Công ty TNHH Thép Hòa Phát Hưng Yên|sub|600|600|100%
55|HPG|Công ty TNHH Tôn Hòa Phát|sub|2,000|2,000|100%
56|HPG|CTCP Thép Hòa Phát Hải Dương|sub|3,500|3,500|100%
57|HPG|CTCP Phát triển nông nghiệp Hòa Phát|sub|2,880|2,880|99.99%
58|HPG|Công ty TNHH Ống thép Hòa Phát|sub|1,500|1,500|99.97%
59|HPG|CTCP Đầu tư Khoáng sản An Thông|sub|500|500|99.96%
60|HPG|Công ty TNHH Thiết bị Phụ tùng Hòa Phát|sub|350|350|99.86%
61|HPG|CTCP Xây dựng & Phát triển Đô thị Hòa Phát|sub|1,300|1,300|99.85%
62|HPG|Công ty TNHH Điện lạnh Hòa Phát|sub|150|150|99.67%
63|HPG|CTCP Nội thất Hòa Phát|sub|400|398|99.6%
64|KDH|Công ty TNHH MTV Hào Khang|sub|123.6|110|100%
65|KDH|Công ty TNHH MTV Đầu tư Kinh doanh Nhà Khang Phúc|sub|||100%
66|KDH|Công ty TNHH Đầu tư Phát triển BCCI|sub|||100%
67|KDH|Công ty TNHH Phát triển Nhà và Xây dựng Hạ tầng Long Phước Điền|sub|140|162.47|99.95%
68|KDH|Công ty TNHH Kinh doanh Địa ốc Gia Phước|sub|250|264.81|99.9%
69|KDH|Công ty TNHH Đầu tư Kinh Doanh Bất động sản Saphire|sub|110|99.05|99.9%
70|KDH|Công ty TNHH Đầu tư Kinh doanh BĐS Kim Phát|sub|100|100|99.9%
71|KDH|Công ty TNHH Đầu tư và Kinh doanh Địa ốc Trí Kiệt|sub|17|72.98|99.9%
72|KDH|Công ty TNHH Tư vấn Quốc Tế|sub|90|182.65|99.9%
73|KDH|Công ty TNHH Đầu tư Thành Phúc|sub|||99.9%
74|KDH|Công ty TNHH Đô thị Mêga|sub|60|58.48|99.85%
75|KDH|CTCP Kinh doanh Bất động sản Sài Gòn Mùa Xuân|sub|100|80|99.8%
76|KDH|CTCP Đầu tư và Kinh doanh Bất động sản Trí Minh|sub|285|297.79|99.8%
77|KDH|Công ty TNHH Xây dựng và Kinh doanh Nhà Tháp Mười|sub|150|182.45|99.8%
78|KDH|Công ty TNHH ĐT KD BĐS Bình Trưng|sub|200|199|99.8%
79|KDH|Công ty TNHH Đầu tư Bất động sản Nguyên Phát|sub|||99.8%
80|KDH|Công ty TNHH Phát triển Bất động sản Phú Hải|sub|||99.8%
81|KDH|Công ty TNHH Phát triển Bất động sản Nam Thông|sub|||99.8%
82|KDH|Công ty TNHH Đầu tư và Kinh doanh Bất động sản Liên Minh|sub|100|99.9|99.7%
83|KDH|Công ty TNHH Đầu tư và Kinh doanh Bất động sản Song Lập|sub|270|270|99.7%
84|KDH|CTCP Vi La|sub|50|49.5|99%
85|KDH|Công ty Cổ phần Việt Hữu Phú|sub|225|222.75|99%
86|KDH|Công ty TNHH Phát triển Bất động sản Nam Phú|sub|||99%
87|KDH|CTCP Bất động sản Thủy Sinh|sub|||98.9%
88|KDH|Công ty TNHH Đầu tư và Kinh Doanh BĐS Không Gian Xanh|sub|280|274.43|98.01%
89|KDH|Công ty TNHH Đầu tư Địa ốc Minh Phát|sub|||51%
90|MBB|Công ty TNHH Quản lý nợ và khai thác tài sản Ngân hàng TMCP Quân đội|sub|1,082.69|1,082.69|100%
91|MBB|Công ty Cổ phần Quản lý quỹ đầu tư MB|sub|323.8|293|90.49%
92|MBB|Công ty cổ phần Chứng khoán MB|sub|5,728.13|4,373.57|76.35%
93|MBB|Tổng Công ty cổ phần Bảo hiểm Quân đội|sub|1,985.73|1,363.28|68.65%
94|MBB|Công ty TNHH Bảo hiểm Nhân thọ MB AGEAS|sub|1,100|671|61%
95|MBB|Công ty Tài chính TNHH MB Shinsei|sub|n/a|n/a|50%
96|MBB|CTCP Đầu tư MIC (MIC Invest)|aff|n/a|n/a|47.4%
97|MBB|CTCP Long Thuận Lộc|aff|151.77|67.37|44.39%
98|MSN|CTCP Tầm nhìn Ma San|sub|2,873.3|2,873.3|99.9%
99|MSN|Công ty TNHH MasanConsumerHoldings|sub|||85.7%
100|MSN|CTCP Masan Nutri-Science|sub|200|161.6|80.8%
101|MSN|Ngân hàng TMCP Kỹ Thương Việt Nam (Techcombank)|aff|70,450.22|10,486.31|14.88%
102|MWG|Công ty TNHH MTV Công nghệ thông tin Thế Giới Di Động|sub|||100%
103|MWG|MWG (Cambodia) Co., Ltd|sub|||99.95%
104|MWG|CTCP Thế giới Di động|sub|131.26|130.5|99.95%
105|MWG|CTCP Thương mại Bách Hóa Xanh|sub|||99.95%
106|MWG|Công ty Cổ phần Thế giới số Trần Anh|sub|249.15|246.32|98.86%
107|NVL|Công ty TNHH MTV Địa ốc No Va|sub|81.6|81.6|100%
108|NVL|Công ty TNHH No Va Lucky Palace|sub|100|100|100%
109|NVL|Công ty TNHH MTV Novaland Agent|sub|20|20|100%
110|NVL|Công ty TNHH BĐS Khải Hưng|sub|5,179.5|5,179.5|100%
111|NVL|Công ty TNHH Đầu tư Địa ốc Thành Nhơn|sub|1,320|1,320|100%
112|NVL|Công ty TNHH Nova An Phú|sub|254.1|254.1|100%
113|NVL|CTCP BĐS Thịnh Vượng|sub|1,239|1,239|100%
114|NVL|Công ty TNHH BĐS Bách Hợp|sub|2,153.4|2,153.4|100%
115|NVL|CTCP Địa ốc Nova Mỹ Đình|sub|5,502|5,501.45|99.99%
116|NVL|Công ty TNHH BĐS Gia Phú|sub|1,065|1,064.89|99.99%
117|NVL|Công ty TNHH BĐS Gia Đức|sub|1,243.2|1,243.08|99.99%
118|NVL|Công ty TNHH Nova Property Management|sub|139|138.9|99.99%
119|NVL|Công ty TNHH Đầu tư và BĐS Tường Minh|sub|299.7|299.67|99.99%
120|NVL|Công ty TNHH Nova Sasco|sub|430|429.96|99.99%
