MBB,Q1/2011,Q2/2011,Q3/2011,Q4/2011,Q1/2012
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"3,237","6,831","3,619","4,049","4,097"
2. Chi phí lãi và các chi phí tương tự,"2,072","4,323","2,314","2,484","2,494"
I. Thu nhập lãi thuần,"1,165","2,508","1,305","1,565","1,603"
3. Thu nhập từ hoạt động dịch vụ,203,367,176,630,208
4. Chi phí hoạt động dịch vụ,27,39,23,460,25
II. Lãi/lỗ thuần từ hoạt động dịch vụ,176,328,152,170,182
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,-149,-164,-3,54,8
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,-154,-586,-505,0,-48
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,0,,-265,-24,0
5. Thu nhập từ hoạt động khác,282,567,826,173,6
6. Chi phí hoạt động khác,43,121,-774,160,0
VI. Lãi/lỗ thuần từ hoạt động khác,238,446,"1,600",13,6
"VII. Thu nhập từ góp vốn, mua cổ phần",18,13,29,11,21
VIII. Chi phí hoạt động,444,925,"1,119",835,499
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),849,"1,619","1,194",953,"1,273"
X. Chi phí dự phòng rủi ro tín dụng,188,484,507,92,370
XI. Tổng lợi nhuận trước thuế (IX-X),661,"1,135",688,862,904
7. Chi phí thuế TNDN hiện hành,178,367,171,169,220
8. Chi phí thuế TNDN hoãn lại,0,,0,0,0
XII. Chi phí thuế TNDN,178,367,171,169,220
XIII. Lợi nhuận sau thuế (XI-XII),483,768,516,693,683
XIV. Lợi ích của cổ đông thiểu số,-28,-132,-21,-52,2
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),510,901,537,745,681
Lãi cơ bản trên cổ phiếu (BCTC),0,,0,0,0
