MBB,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"3,385","4,094","3,673","3,518","3,084"
2. Chi phí lãi và các chi phí tương tự,"1,687","2,442","2,109","1,959","1,698"
I. Thu nhập lãi thuần,"1,698","1,652","1,564","1,559","1,386"
3. Thu nhập từ hoạt động dịch vụ,198,194,237,292,342
4. Chi phí hoạt động dịch vụ,44,22,65,81,122
II. Lãi/lỗ thuần từ hoạt động dịch vụ,154,173,172,211,221
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,13,-31,27,46,44
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,-120,377,44,,135
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,,,,15,0
5. Thu nhập từ hoạt động khác,107,64,20,168,375
6. Chi phí hoạt động khác,,,,,0
VI. Lãi/lỗ thuần từ hoạt động khác,107,64,20,168,375
"VII. Thu nhập từ góp vốn, mua cổ phần",15,21,17,46,12
VIII. Chi phí hoạt động,656,885,616,672,734
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"1,210","1,370","1,228","1,371","1,439"
X. Chi phí dự phòng rủi ro tín dụng,346,"1,029",397,403,779
XI. Tổng lợi nhuận trước thuế (IX-X),864,341,831,969,660
7. Chi phí thuế TNDN hiện hành,212,95,204,233,214
8. Chi phí thuế TNDN hoãn lại,,,,1,-1
XII. Chi phí thuế TNDN,212,95,204,234,213
XIII. Lợi nhuận sau thuế (XI-XII),652,247,627,735,447
XIV. Lợi ích của cổ đông thiểu số,3,,4,9,-83
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),649,247,623,726,530
Lãi cơ bản trên cổ phiếu (BCTC),,,,,0
