VNM,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Soát xét,Soát xét,Soát xét,Chưa kiểm toán,Soát xét
Công ty kiểm toán,KPMG,KPMG,KPMG,,KPMG
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,,Chấp nhận toàn phần
,,,,,
TÀI SẢN,,,,,
10. Cổ phiếu ưu đãi (Nợ),,,,,
11. Thuế thu nhập hoãn lại phải trả,371,362,356,,332
12. Dự phòng phải trả dài hạn,,,,,
13. Quỹ phát triển khoa học và công nghệ,,,,,
14. Dự phòng trợ cấp mất việc làm,,,,,
B. VỐN CHỦ SỞ HỮU,"32,247","32,356","31,692","33,647","33,964"
I. Vốn chủ sở hữu,"32,247","32,356","31,692","33,647","33,964"
1. Vốn góp của chủ sở hữu,"17,417","17,417","20,900","20,900","20,900"
- Cổ phiếu phổ thông có quyền biểu quyết,"17,417","17,417","20,900","20,900","20,900"
- Cổ phiếu ưu đãi,,,,,
2. Thặng dư vốn cổ phần,,,,,34
3. Quyền chọn chuyển đổi trái phiếu,,,,,
4. Vốn khác của chủ sở hữu,,,,203,203
5. Cổ phiếu quỹ (*),-12,-12,-12,-12,
6. Chênh lệch đánh giá lại tài sản,,,,,
7. Chênh lệch tỷ giá hối đoái,44,20,16,11,1
8. Quỹ đầu tư phát triển,"2,470","2,774","3,081","3,286","3,552"
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,,,,,
11. Lợi nhuận sau thuế chưa phân phối,"10,091","9,937","5,362","6,910","6,642"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,"7,875","5,263","1,781","1,578","4,820"
- LNST chưa phân phối kỳ này,"2,216","4,674","3,581","5,332","1,822"
12. Nguồn vốn đầu tư XDCB,,,,,
13. Lợi ích cổ đông không kiểm soát,"2,236","2,220","2,345","2,350","2,632"
14. Quỹ dự phòng tài chính,,,,,
II. Nguồn kinh phí và quỹ khác,,,,,
1. Nguồn kinh phí,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,,
TỔNG CỘNG NGUỒN VỐN,"46,074","49,597","50,396","48,432","51,051"
