HPG,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"26,014","28,056","29,981","30,495","30,472"
I. Tiền và các khoản tương đương tiền,"2,516","6,111","5,900","3,973","4,565"
1. Tiền,"1,822","1,631","1,559","1,595","1,678"
2. Các khoản tương đương tiền,693,"4,480","4,341","2,378","2,887"
II.  Đầu tư tài chính ngắn hạn,"3,725","3,220","2,607","1,841","1,374"
1. Chứng khoán kinh doanh,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,"3,725","3,220","2,607","1,841","1,374"
III. Các khoản phải thu ngắn hạn,"3,915","4,989","4,849","3,854","3,575"
1. Phải thu ngắn hạn của khách hàng,"2,282","2,519","2,475","2,463","2,700"
2. Trả trước cho người bán ngắn hạn,810,"1,621","1,516","1,268",758
3. Phải thu nội bộ ngắn hạn,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
5. Phải thu về cho vay ngắn hạn,,,,,
6. Phải thu ngắn hạn khác,856,875,881,148,153
7. Dự phòng phải thu ngắn hạn khó đòi (*),-38,-36,-36,-36,-37
8. Tài sản thiếu chờ xử lý,5,9,12,12,1
IV. Hàng tồn kho,"14,115","12,658","15,391","18,946","19,412"
1. Hàng tồn kho,"14,188","12,706","15,442","18,998","19,481"
2. Dự phòng giảm giá hàng tồn kho (*),-73,-47,-51,-52,-69
V. Tài sản ngắn hạn khác,"1,743","1,078","1,234","1,881","1,546"
1. Chi phí trả trước ngắn hạn,122,119,97,125,119
2. Thuế GTGT được khấu trừ,"1,602",942,"1,119","1,737","1,400"
3. Thuế và các khoản khác phải thu của nhà nước,19,17,18,18,27
4. Giao dịch mua bán lại trái phiếu chính phủ,,,,,
5. Tài sản ngắn hạn khác,,,,,
B. TÀI SẢN DÀI HẠN,"52,211","56,891","63,037","66,954","71,319"
I. Các khoản phải thu dài hạn,22,23,23,23,28
1. Phải thu dài hạn của khách hàng,,,,,
2. Trả trước cho người bán dài hạn,,,,,
