HPG,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"35,440","38,918","45,048","44,405","37,714"
2. Các khoản giảm trừ doanh thu,321,245,337,347,292
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"35,118","38,674","44,711","44,058","37,422"
4. Giá vốn hàng bán,"23,641","26,813","35,123","33,950","30,882"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"11,477","11,861","9,587","10,108","6,540"
6.Doanh thu hoạt động tài chính,446,879,857,769,662
7. Chi phí tài chính,821,968,"1,184","1,111","2,033"
Trong đó :Chi phí lãi vay,600,675,630,597,717
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",6,8,0,-1,0
9. Chi phí bán hàng,412,583,711,577,737
10. Chi phí quản lý doanh nghiệp,373,236,509,264,119
11. Lợi nhuận thuần từ hoạt động kinh doanh,"10,324","10,961","8,040","8,924","4,313"
12. Thu nhập khác,191,217,230,193,251
13. Chi phí khác,165,199,232,195,184
14. Lợi nhuận khác,26,18,-2,-2,67
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"10,349","10,979","8,038","8,922","4,379"
16. Chi phí thuế TNDN hiện hành,787,722,540,568,317
17. Chi phí thuế TNDN hoãn lại,-183,-94,79,148,40
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"9,745","10,351","7,419","8,206","4,023"
Lợi ích của cổ đông thiểu số,24,-1,-8,-11,-10
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"9,721","10,352","7,427","8,217","4,032"
19. Lãi cơ bản trên cổ phiếu (*),,,,,
20. Lãi suy giảm trên cổ phiếu (*),,,,,
