HPG,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"34,925","31,093","39,936","34,300","35,232"
2. Các khoản giảm trừ doanh thu,541,240,381,344,741
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"34,384","30,852","39,556","33,956","34,491"
4. Giá vốn hàng bán,"29,912","26,698","34,308","29,225","30,126"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"4,472","4,154","5,247","4,731","4,365"
6.Doanh thu hoạt động tài chính,732,752,645,528,701
7. Chi phí tài chính,"1,127","1,061","1,065",833,"1,015"
Trong đó :Chi phí lãi vay,711,636,564,525,562
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,367,640,747,720,230
10. Chi phí quản lý doanh nghiệp,394,317,389,322,517
11. Lợi nhuận thuần từ hoạt động kinh doanh,"3,316","2,888","3,692","3,385","3,303"
12. Thu nhập khác,232,508,205,221,225
13. Chi phí khác,163,135,163,194,241
14. Lợi nhuận khác,69,374,42,27,-16
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"3,385","3,261","3,733","3,412","3,287"
16. Chi phí thuế TNDN hiện hành,356,415,419,428,503
17. Chi phí thuế TNDN hoãn lại,59,-23,-6,-37,-26
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"2,969","2,869","3,320","3,022","2,810"
Lợi ích của cổ đông thiểu số,-4,-1,0,-1,3
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"2,973","2,871","3,319","3,023","2,807"
19. Lãi cơ bản trên cổ phiếu (*),,,,,
20. Lãi suy giảm trên cổ phiếu (*),,,,,
