HPG,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"19,451","20,694","24,969","26,165","31,459"
2. Các khoản giảm trừ doanh thu,218,272,283,387,282
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"19,233","20,422","24,686","25,778","31,177"
4. Giá vốn hàng bán,"15,470","16,717","19,516","19,511","22,994"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"3,763","3,706","5,169","6,267","8,183"
6.Doanh thu hoạt động tài chính,109,395,248,355,898
7. Chi phí tài chính,823,621,709,787,768
Trong đó :Chi phí lãi vay,481,523,541,662,622
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",-2,16,-5,-7,-10
9. Chi phí bán hàng,258,259,294,283,414
10. Chi phí quản lý doanh nghiệp,153,155,168,214,206
11. Lợi nhuận thuần từ hoạt động kinh doanh,"2,636","3,081","4,241","5,332","7,683"
12. Thu nhập khác,153,153,175,172,159
13. Chi phí khác,132,139,144,174,152
14. Lợi nhuận khác,21,15,31,-1,7
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"2,657","3,096","4,272","5,330","7,690"
16. Chi phí thuế TNDN hiện hành,368,368,499,547,806
17. Chi phí thuế TNDN hoãn lại,-16,-28,-12,122,-121
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"2,305","2,756","3,785","4,661","7,006"
Lợi ích của cổ đông thiểu số,19,13,12,23,28
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"2,285","2,743","3,773","4,638","6,978"
19. Lãi cơ bản trên cổ phiếu (*),,,,,
20. Lãi suy giảm trên cổ phiếu (*),,,,,
