HPG,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"6,537","6,576","6,762","5,827","6,686"
2. Các khoản giảm trừ doanh thu,77,61,81,81,104
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"6,460","6,515","6,681","5,747","6,582"
4. Giá vốn hàng bán,"5,369","5,126","5,249","4,417","5,547"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"1,091","1,390","1,433","1,330","1,034"
6.Doanh thu hoạt động tài chính,38,37,33,56,35
7. Chi phí tài chính,147,138,168,100,157
Trong đó :Chi phí lãi vay,124,121,81,79,69
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,107,81,74,101,111
10. Chi phí quản lý doanh nghiệp,290,140,142,116,209
11. Lợi nhuận thuần từ hoạt động kinh doanh,585,"1,068","1,081","1,069",592
12. Thu nhập khác,92,59,76,72,69
13. Chi phí khác,52,56,70,116,74
14. Lợi nhuận khác,40,3,5,-44,-5
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,0,,0,,0
15. Tổng lợi nhuận kế toán trước thuế,625,"1,071","1,087","1,025",587
16. Chi phí thuế TNDN hiện hành,136,160,129,150,78
17. Chi phí thuế TNDN hoãn lại,-1,0,-7,-6,14
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,490,910,964,880,496
Lợi ích của cổ đông thiểu số,0,40,21,24,22
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,490,870,943,857,474
19. Lãi cơ bản trên cổ phiếu (*),"1,168","2,077","1,958","1,778",983
20. Lãi suy giảm trên cổ phiếu (*),,,,,
