HPG,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"4,099","4,304","3,996","4,415","4,253"
2. Các khoản giảm trừ doanh thu,77,68,62,70,58
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"4,022","4,236","3,934","4,345","4,195"
4. Giá vốn hàng bán,"3,482","3,529","3,243","3,483","3,538"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,540,706,692,861,657
6.Doanh thu hoạt động tài chính,95,26,136,24,35
7. Chi phí tài chính,125,102,98,128,105
Trong đó :Chi phí lãi vay,109,89,81,78,79
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,54,134,66,54,52
10. Chi phí quản lý doanh nghiệp,97,311,91,101,-67
11. Lợi nhuận thuần từ hoạt động kinh doanh,359,185,573,602,601
12. Thu nhập khác,29,75,32,38,38
13. Chi phí khác,35,43,33,41,41
14. Lợi nhuận khác,-6,32,-1,-3,-3
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,0,,0,
15. Tổng lợi nhuận kế toán trước thuế,353,217,572,599,598
16. Chi phí thuế TNDN hiện hành,39,22,93,66,95
17. Chi phí thuế TNDN hoãn lại,4,17,-2,1,-5
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,310,178,481,532,508
Lợi ích của cổ đông thiểu số,21,3,24,21,12
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,289,175,457,512,496
19. Lãi cơ bản trên cổ phiếu (*),827,418,"1,090","1,221","1,184"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
