HPG,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"34,134","39,021","43,319","56,800","63,943"
I. Tiền và các khoản tương đương tiền,"6,158","7,480","5,629","13,001","14,019"
1. Tiền,"2,649","2,416","2,014","2,094","3,909"
2. Các khoản tương đương tiền,"3,509","5,064","3,614","10,907","10,109"
II.  Đầu tư tài chính ngắn hạn,"1,617","4,668","8,790","8,822","10,807"
1. Chứng khoán kinh doanh,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,"1,617","4,668","8,790","8,822","10,807"
III. Các khoản phải thu ngắn hạn,"5,013","4,222","5,830","6,125","8,685"
1. Phải thu ngắn hạn của khách hàng,"3,925","3,177","4,051","3,949","5,709"
2. Trả trước cho người bán ngắn hạn,936,819,"1,199","1,303","1,788"
3. Phải thu nội bộ ngắn hạn,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
5. Phải thu về cho vay ngắn hạn,,,,,
6. Phải thu ngắn hạn khác,188,261,616,910,"1,224"
7. Dự phòng phải thu ngắn hạn khó đòi (*),-38,-38,-39,-39,-38
8. Tài sản thiếu chờ xử lý,1,3,3,1,1
IV. Hàng tồn kho,"19,554","20,763","20,979","26,287","27,751"
1. Hàng tồn kho,"19,644","20,863","21,083","26,373","27,849"
2. Dự phòng giảm giá hàng tồn kho (*),-90,-100,-104,-87,-99
V. Tài sản ngắn hạn khác,"1,792","1,888","2,091","2,566","2,683"
1. Chi phí trả trước ngắn hạn,127,115,110,194,166
2. Thuế GTGT được khấu trừ,"1,641","1,756","1,963","2,357","2,506"
3. Thuế và các khoản khác phải thu của nhà nước,24,18,18,14,10
