Ngày,Thay đổi,Mua - Số lệnh,Mua - Khối lượng,Mua - KLTB 1 lệnh,Bán - Số lệnh,Bán - Khối lượng,Bán - KLTB 1 lệnh,Khối lượng ròng
21/02/2022,133.9 ( -0.07 %),"1,213","1,289,400","1,062.98","1,047","1,719,600","1,642","-430,200"
18/02/2022,134 ( -0.37 %),"1,057","1,100,200","1,040.87",775,"1,150,100","1,484","-49,900"
17/02/2022,134.5 ( 1.2 %),"1,179","1,514,600","1,284.65","1,331","1,944,800","1,461","-430,200"
16/02/2022,132.9 ( -0.3 %),"1,044","1,108,800","1,062.07",828,"1,480,400","1,788","-371,600"
15/02/2022,133.3 ( 0.98 %),868,"1,021,400","1,176.73",734,"1,271,700","1,733","-250,300"
14/02/2022,132 ( -2.44 %),"1,348","1,236,100",916.99,967,"1,610,100","1,665","-374,000"
11/02/2022,135.3 ( -0.73 %),820,"1,159,600","1,414.15","1,205","1,376,100","1,142","-216,500"
10/02/2022,136.3 ( -0.51 %),"1,198","1,560,700","1,302.75","1,600","1,956,000","1,222","-395,300"
09/02/2022,137 ( 0.51 %),"1,048","1,795,700","1,713.45","1,980","2,374,800","1,199","-579,100"
08/02/2022,136.3 ( 1.79 %),"1,629","2,221,700","1,363.84","1,664","2,404,800","1,445","-183,100"
07/02/2022,133.9 ( 1.06 %),935,"1,359,100","1,453.58","1,341","1,792,700","1,337","-433,600"
28/01/2022,132.5 ( 0.76 %),"1,032","1,178,700","1,142.15","1,206","1,574,400","1,305","-395,700"
27/01/2022,131.5 ( -0.3 %),863,"1,056,000","1,223.64",875,"1,334,900","1,526","-278,900"
26/01/2022,131.9 ( 0.69 %),"1,388","1,517,300","1,093.16","1,069","1,409,200","1,318","108,100"
25/01/2022,131 ( 0.85 %),0,0,0,0,0,0,0
24/01/2022,129.9 ( -2.48 %),"1,038","1,150,900","1,108.77","1,297","1,786,700","1,378","-635,800"
21/01/2022,133.2 ( -0.6 %),"1,228","1,148,500",935.26,"1,144","1,408,300","1,231","-259,800"
20/01/2022,132.7 ( -0.6 %),962,"1,734,100","1,802.6",986,"1,693,000","1,717","41,100"
19/01/2022,131.9 ( 1.38 %),"1,054","1,448,000","1,373.81","1,313","1,676,400","1,277","-228,400"
18/01/2022,130.1 ( 0.08 %),"1,374","1,473,700","1,072.56","1,063","1,582,800","1,489","-109,100"
