VJC,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"7,230","4,970","2,809","4,430","4,049"
2. Các khoản giảm trừ doanh thu,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"7,230","4,970","2,809","4,430","4,049"
4. Giá vốn hàng bán,"8,071","5,079","3,421","3,936","5,062"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,-841,-109,-612,494,"-1,014"
6.Doanh thu hoạt động tài chính,548,"1,174",93,104,"1,395"
7. Chi phí tài chính,314,144,138,-29,38
Trong đó :Chi phí lãi vay,122,110,102,118,119
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",-25,-40,-28,-42,
9. Chi phí bán hàng,227,170,157,216,114
10. Chi phí quản lý doanh nghiệp,112,85,86,108,107
11. Lợi nhuận thuần từ hoạt động kinh doanh,-971,626,-928,262,122
12. Thu nhập khác,10,414,5,745,-4
13. Chi phí khác,4,0,8,1,0
14. Lợi nhuận khác,5,413,-3,744,-4
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,-3
15. Tổng lợi nhuận kế toán trước thuế,-966,"1,039",-931,"1,006",115
16. Chi phí thuế TNDN hiện hành,,18,,,
17. Chi phí thuế TNDN hoãn lại,24,-43,40,11,-8
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,-989,"1,063",-971,995,123
Lợi ích của cổ đông thiểu số,0,1,0,-1,-1
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,-989,"1,063",-971,995,124
19. Lãi cơ bản trên cổ phiếu (*),"-1,850","1,962","-1,855","1,899",237
20. Lãi suy giảm trên cổ phiếu (*),,,,,
