VJC,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"11,600","11,807","12,898","16,872","14,235"
2. Các khoản giảm trừ doanh thu,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"11,600","11,807","12,898","16,872","14,235"
4. Giá vốn hàng bán,"11,237","15,650","11,836","15,770","12,994"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,364,"-3,843","1,062","1,102","1,241"
6.Doanh thu hoạt động tài chính,208,"2,064",237,246,310
7. Chi phí tài chính,235,"1,353",479,417,548
Trong đó :Chi phí lãi vay,259,409,375,394,485
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,143,430,420,454,619
10. Chi phí quản lý doanh nghiệp,139,183,156,241,182
11. Lợi nhuận thuần từ hoạt động kinh doanh,55,"-3,746",244,236,201
12. Thu nhập khác,21,"1,625",1,48,16
13. Chi phí khác,32,6,2,8,19
14. Lợi nhuận khác,-11,"1,619",-1,39,-3
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,44,"-2,127",243,276,199
16. Chi phí thuế TNDN hiện hành,2,573,1,1,217
17. Chi phí thuế TNDN hoãn lại,,-340,69,61,-74
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,43,"-2,359",173,214,55
Lợi ích của cổ đông thiểu số,2,-3,1,1,-80
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,41,"-2,356",172,213,135
19. Lãi cơ bản trên cổ phiếu (*),75,"-4,350",318,393,249
20. Lãi suy giảm trên cổ phiếu (*),75,"-4,350",318,393,249
