VJC,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
B. VỐN CHỦ SỞ HỮU,"13,754","14,993","13,983","14,980","14,630"
I. Vốn chủ sở hữu,"13,754","14,993","13,983","14,980","14,630"
1. Vốn góp của chủ sở hữu,"5,416","5,416","5,416","5,662","5,432"
- Cổ phiếu phổ thông có quyền biểu quyết,"5,416","5,416","5,416","5,416","5,432"
- Cổ phiếu ưu đãi,246,,,,
2. Thặng dư vốn cổ phần,246,246,246,246,
3. Quyền chọn chuyển đổi trái phiếu,,,,,
4. Vốn khác của chủ sở hữu,,,,,
5. Cổ phiếu quỹ (*),"-2,347","-2,347","-2,347","-2,347","-2,347"
6. Chênh lệch đánh giá lại tài sản,,,,,
7. Chênh lệch tỷ giá hối đoái,-95,81,69,74,-33
8. Quỹ đầu tư phát triển,,,,,
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,,,,,
11. Lợi nhuận sau thuế chưa phân phối,"10,531","11,594","10,595","11,589","11,333"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,"11,521","11,521","11,521","11,589","11,333"
- LNST chưa phân phối kỳ này,-989,73,-925,,
12. Nguồn vốn đầu tư XDCB,,,,,
13. Lợi ích cổ đông không kiểm soát,2,3,3,2,-1
14. Quỹ dự phòng tài chính,,,,,
II. Nguồn kinh phí và quỹ khác,,,,,
1. Nguồn kinh phí,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,,
TỔNG CỘNG NGUỒN VỐN,"46,905","48,393","45,304","47,088","47,498"
