MWG,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Soát xét,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,EY,,,
Ý kiến kiểm toán,,Chấp nhận toàn phần,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"21,325","25,310","26,974","25,486","25,716"
2. Các khoản giảm trừ doanh thu,287,292,370,344,305
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"21,038","25,017","26,604","25,142","25,411"
4. Giá vốn hàng bán,"17,285","20,584","21,855","20,202","20,046"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"3,753","4,434","4,748","4,941","5,365"
6.Doanh thu hoạt động tài chính,107,110,161,178,182
7. Chi phí tài chính,111,133,134,146,156
Trong đó :Chi phí lãi vay,111,133,134,145,156
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",1,0,0,-1,-2
9. Chi phí bán hàng,"2,450","2,466","2,992","3,285","3,695"
10. Chi phí quản lý doanh nghiệp,385,613,391,550,520
11. Lợi nhuận thuần từ hoạt động kinh doanh,916,"1,331","1,393","1,136","1,174"
12. Thu nhập khác,10,13,8,8,13
13. Chi phí khác,7,3,5,7,8
14. Lợi nhuận khác,3,10,3,1,6
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,919,"1,341","1,396","1,137","1,180"
16. Chi phí thuế TNDN hiện hành,232,296,314,296,342
17. Chi phí thuế TNDN hoãn lại,-6,4,2,-14,-23
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,693,"1,041","1,080",856,860
Lợi ích của cổ đông thiểu số,1,1,0,0,0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,692,"1,040","1,079",855,860
19. Lãi cơ bản trên cổ phiếu (*),,"2,347","2,435","1,930",
20. Lãi suy giảm trên cổ phiếu (*),,"2,347","2,435","1,930",
