MWG,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Soát xét,Chưa kiểm toán
Công ty kiểm toán,,,,EY,
Ý kiến kiểm toán,,,,Chấp nhận toàn phần,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"31,983","24,505","36,497","36,819","34,703"
2. Các khoản giảm trừ doanh thu,325,172,359,352,365
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"31,658","24,333","36,138","36,467","34,338"
4. Giá vốn hàng bán,"24,515","18,245","28,763","28,342","27,001"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"7,144","6,089","7,375","8,124","7,336"
6.Doanh thu hoạt động tài chính,305,289,384,355,298
7. Chi phí tài chính,171,165,225,206,360
Trong đó :Chi phí lãi vay,170,164,187,200,366
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",-3,-1,12,,
9. Chi phí bán hàng,"4,444","4,270","4,853","5,036","5,070"
10. Chi phí quản lý doanh nghiệp,"1,201",975,666,"1,239",500
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,628",966,"2,027","1,997","1,703"
12. Thu nhập khác,10,20,33,16,19
13. Chi phí khác,12,18,9,11,20
14. Lợi nhuận khác,-2,2,23,6,-1
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"1,626",968,"2,050","2,003","1,702"
16. Chi phí thuế TNDN hiện hành,419,229,520,554,547
17. Chi phí thuế TNDN hoãn lại,-6,-47,-33,4,25
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"1,214",786,"1,563","1,445","1,131"
Lợi ích của cổ đông thiểu số,1,0,1,1,1
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"1,213",785,"1,562","1,444","1,130"
19. Lãi cơ bản trên cổ phiếu (*),"2,518","1,298",-511,"2,026",700
20. Lãi suy giảm trên cổ phiếu (*),"2,518","1,298",-511,"2,026",700
