MWG,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"32,322","30,878","27,335","29,725","30,521"
2. Các khoản giảm trừ doanh thu,310,289,229,260,233
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"32,012","30,588","27,106","29,465","30,288"
4. Giá vốn hàng bán,"24,620","22,659","21,891","24,024","24,609"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"7,392","7,930","5,214","5,441","5,678"
6.Doanh thu hoạt động tài chính,349,312,359,585,619
7. Chi phí tài chính,435,382,296,397,445
Trong đó :Chi phí lãi vay,435,361,296,385,438
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,"5,343","6,603","4,785","5,211","5,314"
10. Chi phí quản lý doanh nghiệp,316,292,325,229,342
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,647",964,168,189,197
12. Thu nhập khác,17,9,13,9,11
13. Chi phí khác,246,40,23,69,26
14. Lợi nhuận khác,-229,-31,-9,-60,-15
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"1,418",933,159,130,182
16. Chi phí thuế TNDN hiện hành,496,197,140,100,127
17. Chi phí thuế TNDN hoãn lại,15,118,-3,13,16
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,907,619,21,17,39
Lợi ích của cổ đông thiểu số,1,0,0,0,0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,906,619,21,17,39
19. Lãi cơ bản trên cổ phiếu (*),618,422,15,11,26
20. Lãi suy giảm trên cổ phiếu (*),618,422,15,11,26
