MWG,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Soát xét,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,EY,,
Ý kiến kiểm toán,,,Chấp nhận toàn phần,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"16,737","19,029","23,073","22,128","21,212"
2. Các khoản giảm trừ doanh thu,356,310,310,321,304
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"16,381","18,719","22,764","21,807","20,908"
4. Giá vốn hàng bán,"13,557","15,674","18,789","17,945","17,205"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"2,824","3,044","3,975","3,862","3,703"
6.Doanh thu hoạt động tài chính,53,97,76,72,86
7. Chi phí tài chính,46,65,115,106,105
Trong đó :Chi phí lãi vay,46,61,113,105,107
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,-1,-3
9. Chi phí bán hàng,"1,781","1,979","2,309","2,464","2,437"
10. Chi phí quản lý doanh nghiệp,333,369,588,398,390
11. Lợi nhuận thuần từ hoạt động kinh doanh,716,728,"1,039",965,854
12. Thu nhập khác,4,8,8,6,9
13. Chi phí khác,1,2,4,3,7
14. Lợi nhuận khác,3,6,4,3,2
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,719,734,"1,043",968,856
16. Chi phí thuế TNDN hiện hành,156,187,241,247,214
17. Chi phí thuế TNDN hoãn lại,-2,-25,-6,-10,-6
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,565,572,807,732,648
Lợi ích của cổ đông thiểu số,0,0,0,0,0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,565,572,807,732,647
19. Lãi cơ bản trên cổ phiếu (*),"1,836",,"2,547",,
20. Lãi suy giảm trên cổ phiếu (*),"1,782",,"2,547",,
