MWG,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"31,653","31,685","34,385","34,362","34,794"
2. Các khoản giảm trừ doanh thu,232,199,251,215,220
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"31,421","31,486","34,134","34,147","34,574"
4. Giá vốn hàng bán,"25,235","24,774","26,826","27,255","27,987"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"6,186","6,713","7,308","6,892","6,587"
6.Doanh thu hoạt động tài chính,603,585,580,575,636
7. Chi phí tài chính,419,375,294,330,189
Trong đó :Chi phí lãi vay,329,267,243,304,323
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,-20,-27,0,2
9. Chi phí bán hàng,"5,607","4,821","5,056","4,849","5,123"
10. Chi phí quản lý doanh nghiệp,301,868,813,968,916
11. Lợi nhuận thuần từ hoạt động kinh doanh,463,"1,212","1,698","1,320",997
12. Thu nhập khác,7,25,-14,6,9
13. Chi phí khác,251,31,168,258,-30
14. Lợi nhuận khác,-244,-6,-182,-252,39
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,219,"1,206","1,516","1,068","1,035"
16. Chi phí thuế TNDN hiện hành,66,311,341,274,200
17. Chi phí thuế TNDN hoãn lại,62,-8,3,-11,-17
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,90,903,"1,172",806,852
Lợi ích của cổ đông thiểu số,0,1,0,6,5
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,90,902,"1,172",800,847
19. Lãi cơ bản trên cổ phiếu (*),62,617,802,547,580
20. Lãi suy giảm trên cổ phiếu (*),62,617,802,547,580
