MWG,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Soát xét,Soát xét,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,EY,EY,,,
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận toàn phần,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"29,674","26,593","26,022","27,513","31,156"
2. Các khoản giảm trừ doanh thu,321,308,308,319,328
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"29,353","26,286","25,714","27,194","30,828"
4. Giá vốn hàng bán,"23,193","20,515","19,964","20,919","23,803"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"6,160","5,770","5,750","6,275","7,025"
6.Doanh thu hoạt động tài chính,125,169,257,243,288
7. Chi phí tài chính,178,137,132,147,153
Trong đó :Chi phí lãi vay,178,137,132,147,153
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",-1,-1,-1,0,-3
9. Chi phí bán hàng,"3,783","3,538","3,753","4,259","4,245"
10. Chi phí quản lý doanh nghiệp,780,"1,001",840,784,"1,088"
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,543","1,262","1,279","1,328","1,824"
12. Thu nhập khác,9,9,9,17,19
13. Chi phí khác,7,17,10,12,15
14. Lợi nhuận khác,1,-9,-1,5,4
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"1,544","1,254","1,278","1,334","1,828"
16. Chi phí thuế TNDN hiện hành,424,368,351,456,469
17. Chi phí thuế TNDN hoãn lại,-12,-8,-24,-65,20
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"1,132",894,951,942,"1,339"
Lợi ích của cổ đông thiểu số,1,1,0,0,1
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"1,132",894,951,942,"1,338"
19. Lãi cơ bản trên cổ phiếu (*),"2,500","1,975","2,100","2,079","2,897"
20. Lãi suy giảm trên cổ phiếu (*),"2,500","1,975","2,100","2,079","2,897"
