Ngày,Giá (nghìn VNĐ) - Đóng cửa,Giá (nghìn VNĐ) - Điều chỉnh,Thay đổi,GD khớp lệnh - Khối lượng,GD khớp lệnh - Giá trị (tỷ VNĐ),GD thỏa thuận - Khối lượng,GD thỏa thuận - Giá trị (tỷ VNĐ),Giá (nghìn VNĐ) - Mở cửa,Giá (nghìn VNĐ) - Cao nhất,Giá (nghìn VNĐ) - Thấp nhất
18/08/2022,24.35,23.09,-0.25(-1.02 %),"1,408,000",34.3,0,0,24.3,24.7,24.15
17/08/2022,24.55,23.27,-0.25(-1.01 %),"1,710,800",42.29,0,0,24.9,25,24.5
16/08/2022,24.8,23.51,-0.1(-0.40 %),"1,150,900",28.52,"88,060",2.04,24.6,24.9,24.6
15/08/2022,24.85,23.56,-0.05(-0.20 %),"1,074,300",26.83,0,0,25.25,25.3,24.85
12/08/2022,24.85,23.56,0.15(0.61 %),"995,200",24.59,0,0,24.5,24.95,24.5
11/08/2022,24.7,23.42,-0.4(-1.59 %),"2,421,500",60.13,0,0,25.25,25.4,24.3
10/08/2022,25.05,23.75,-0.25(-0.99 %),"1,453,200",36.46,0,0,25.15,25.25,25
09/08/2022,25.25,23.94,0.15(0.60 %),"1,576,700",39.56,0,0,25.05,25.3,24.95
08/08/2022,25.1,23.8,0.3(1.21 %),"1,954,300",49.03,0,0,24.8,25.3,24.8
05/08/2022,24.75,23.46,0.15(0.61 %),"1,844,600",45.13,0,0,24.6,24.75,24.3
04/08/2022,24.6,23.32,-0.1(-0.40 %),"1,954,400",48.5,0,0,24.95,25.35,24.5
03/08/2022,24.7,23.42,-0.1(-0.40 %),"1,638,900",40.45,0,0,24.75,24.85,24.45
02/08/2022,24.8,23.51,0.1(0.40 %),"2,205,700",54.65,0,0,24.5,25.1,24.5
01/08/2022,24.7,23.42,0.8(3.35 %),"2,618,000",63.67,0,0,24,24.7,23.8
29/07/2022,23.9,22.66,-0.1(-0.42 %),"1,899,000",45.63,0,0,24.15,24.2,23.75
28/07/2022,23.95,22.71,0.85(3.68 %),"2,558,100",60.85,0,0,23.5,24.1,23.25
27/07/2022,23.1,21.9,0.3(1.32 %),"1,715,000",38.9,0,0,22.5,23.2,22.4
26/07/2022,22.75,21.57,-0.05(-0.22 %),"1,038,100",23.66,0,0,22.85,23.15,22.6
25/07/2022,22.8,21.62,-0.7(-2.98 %),"1,193,500",27.51,0,0,23.5,23.5,22.8
22/07/2022,23.5,22.28,-0.2(-0.84 %),"1,651,200",39.32,0,0,23.7,24.2,23.5
