STB,Q3/2007,Q4/2007,Q1/2008,Q2/2008,Q3/2008
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Công ty mẹ,Công ty mẹ,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,810,,"1,586","1,822","1,929"
2. Chi phí lãi và các chi phí tương tự,551,,"1,120","1,468","1,874"
I. Thu nhập lãi thuần,260,,466,355,55
3. Thu nhập từ hoạt động dịch vụ,46,,126,308,135
4. Chi phí hoạt động dịch vụ,14,,27,26,52
II. Lãi/lỗ thuần từ hoạt động dịch vụ,33,,99,283,84
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,43,,137,26,97
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,149,,3,4,131
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,,,6,-39,23
5. Thu nhập từ hoạt động khác,1,"1,526",7,8,152
6. Chi phí hoạt động khác,0,"1,080",3,9,45
VI. Lãi/lỗ thuần từ hoạt động khác,1,446,4,0,107
"VII. Thu nhập từ góp vốn, mua cổ phần",116,,20,37,39
VIII. Chi phí hoạt động,184,,293,310,317
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),417,446,442,356,218
X. Chi phí dự phòng rủi ro tín dụng,22,,30,31,4
XI. Tổng lợi nhuận trước thuế (IX-X),395,446,412,325,214
7. Chi phí thuế TNDN hiện hành,38,59,55,44,39
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,38,59,55,44,39
XIII. Lợi nhuận sau thuế (XI-XII),357,387,357,281,176
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),357,387,357,281,176
Lãi cơ bản trên cổ phiếu (BCTC),"3,670",,"3,622","3,203","2,532"
