STB,Q1/2010,Q2/2010,Q3/2010,Q4/2010,Q1/2011
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"2,279","2,644","3,040","3,897","4,297"
2. Chi phí lãi và các chi phí tương tự,"1,659","1,810","2,067","2,666","2,978"
I. Thu nhập lãi thuần,620,834,972,"1,232","1,319"
3. Thu nhập từ hoạt động dịch vụ,356,321,61,513,501
4. Chi phí hoạt động dịch vụ,43,62,63,110,97
II. Lãi/lỗ thuần từ hoạt động dịch vụ,313,260,-2,403,404
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,71,9,163,-514,-107
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,10,45,-76,52,-34
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,12,-4,2,7,2
5. Thu nhập từ hoạt động khác,28,35,96,362,20
6. Chi phí hoạt động khác,2,9,43,329,36
VI. Lãi/lỗ thuần từ hoạt động khác,27,26,53,33,-15
"VII. Thu nhập từ góp vốn, mua cổ phần",10,370,-6,117,13
VIII. Chi phí hoạt động,483,505,555,655,665
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),579,"1,035",550,676,916
X. Chi phí dự phòng rủi ro tín dụng,11,101,46,90,201
XI. Tổng lợi nhuận trước thuế (IX-X),567,934,504,585,715
7. Chi phí thuế TNDN hiện hành,133,198,133,227,144
8. Chi phí thuế TNDN hoãn lại,0,0,0,-5,0
XII. Chi phí thuế TNDN,133,198,133,221,144
XIII. Lợi nhuận sau thuế (XI-XII),435,736,371,364,571
XIV. Lợi ích của cổ đông thiểu số,9,-36,0,0,0
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),426,772,371,364,571
Lãi cơ bản trên cổ phiếu (BCTC),"2,867",0,0,0,0
