STB,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"6,954","7,351","7,300","8,452","7,374"
2. Chi phí lãi và các chi phí tương tự,"4,844","4,893","5,278","5,527","5,598"
I. Thu nhập lãi thuần,"2,110","2,458","2,022","2,925","1,776"
3. Thu nhập từ hoạt động dịch vụ,"1,289",970,"1,083","1,123","1,628"
4. Chi phí hoạt động dịch vụ,367,328,341,376,436
II. Lãi/lỗ thuần từ hoạt động dịch vụ,922,642,742,747,"1,192"
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,88,113,107,202,186
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,,,,,
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-29,23,2,28,20
5. Thu nhập từ hoạt động khác,628,305,432,167,582
6. Chi phí hoạt động khác,1,1,5,52,6
VI. Lãi/lỗ thuần từ hoạt động khác,626,304,426,115,576
"VII. Thu nhập từ góp vốn, mua cổ phần",1,2,1,2,24
VIII. Chi phí hoạt động,"2,372","2,050","2,285","2,351","2,579"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"1,346","1,491","1,016","1,667","1,195"
X. Chi phí dự phòng rủi ro tín dụng,414,430,616,637,469
XI. Tổng lợi nhuận trước thuế (IX-X),932,"1,061",400,"1,030",726
7. Chi phí thuế TNDN hiện hành,63,217,93,258,224
8. Chi phí thuế TNDN hoãn lại,11,,,,-30
XII. Chi phí thuế TNDN,74,217,93,258,194
XIII. Lợi nhuận sau thuế (XI-XII),859,844,307,772,532
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),859,844,307,772,532
Lãi cơ bản trên cổ phiếu (BCTC),,"1,241",,,
