STB,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"8,487","8,369","8,612","8,120","7,655"
2. Chi phí lãi và các chi phí tương tự,"5,647","5,732","5,576","5,106","4,646"
I. Thu nhập lãi thuần,"2,840","2,637","3,036","3,014","3,008"
3. Thu nhập từ hoạt động dịch vụ,"1,126","1,091","1,712","1,547","1,336"
4. Chi phí hoạt động dịch vụ,405,394,463,471,498
II. Lãi/lỗ thuần từ hoạt động dịch vụ,721,698,"1,249","1,076",837
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,233,166,159,252,207
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,0,,,,
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,18,-51,6,121,34
5. Thu nhập từ hoạt động khác,82,132,366,601,84
6. Chi phí hoạt động khác,11,21,8,17,26
VI. Lãi/lỗ thuần từ hoạt động khác,71,110,358,584,58
"VII. Thu nhập từ góp vốn, mua cổ phần",0,1,2,-30,0
VIII. Chi phí hoạt động,"2,478","1,973","2,625","3,939","2,669"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"1,406","1,588","2,185","1,077","1,476"
X. Chi phí dự phòng rủi ro tín dụng,418,"1,148","1,288",64,476
XI. Tổng lợi nhuận trước thuế (IX-X),988,441,897,"1,014","1,000"
7. Chi phí thuế TNDN hiện hành,202,97,181,458,199
8. Chi phí thuế TNDN hoãn lại,0,,,-281,
XII. Chi phí thuế TNDN,202,97,181,177,199
XIII. Lợi nhuận sau thuế (XI-XII),786,343,716,837,801
XIV. Lợi ích của cổ đông thiểu số,0,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),786,343,716,837,801
Lãi cơ bản trên cổ phiếu (BCTC),"1,329",,,,"1,495"
