STB,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"3,907","3,817","4,025","4,018","3,336"
2. Chi phí lãi và các chi phí tương tự,"2,328","2,255","2,134","2,160","2,082"
I. Thu nhập lãi thuần,"1,579","1,562","1,891","1,858","1,254"
3. Thu nhập từ hoạt động dịch vụ,256,352,327,363,382
4. Chi phí hoạt động dịch vụ,82,95,134,136,130
II. Lãi/lỗ thuần từ hoạt động dịch vụ,174,258,192,227,251
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,0,78,51,23,42
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,-45,100,-85,104,64
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-71,-122,8,49,234
5. Thu nhập từ hoạt động khác,11,16,117,29,51
6. Chi phí hoạt động khác,26,6,24,12,18
VI. Lãi/lỗ thuần từ hoạt động khác,-15,10,93,17,33
"VII. Thu nhập từ góp vốn, mua cổ phần",118,-1,14,28,16
VIII. Chi phí hoạt động,975,996,"1,125","1,061","1,279"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),765,889,"1,040","1,245",615
X. Chi phí dự phòng rủi ro tín dụng,22,95,210,466,191
XI. Tổng lợi nhuận trước thuế (IX-X),743,794,830,778,424
7. Chi phí thuế TNDN hiện hành,-33,173,182,171,45
8. Chi phí thuế TNDN hoãn lại,205,,-1,,44
XII. Chi phí thuế TNDN,172,173,181,171,90
XIII. Lợi nhuận sau thuế (XI-XII),571,621,649,608,334
XIV. Lợi ích của cổ đông thiểu số,0,0,0,0,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),571,621,649,608,334
Lãi cơ bản trên cổ phiếu (BCTC),,552,,,
