STB,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"4,092","4,170","4,244","4,112","4,032"
2. Chi phí lãi và các chi phí tương tự,"2,417","2,380","2,433","2,481","2,425"
I. Thu nhập lãi thuần,"1,675","1,789","1,811","1,631","1,607"
3. Thu nhập từ hoạt động dịch vụ,359,314,407,288,486
4. Chi phí hoạt động dịch vụ,116,338,173,49,185
II. Lãi/lỗ thuần từ hoạt động dịch vụ,243,-24,234,239,301
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,46,-25,83,-359,73
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,-106,24,20,2,-44
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-92,-255,15,84,-1
5. Thu nhập từ hoạt động khác,15,-66,7,6,109
6. Chi phí hoạt động khác,4,63,1,1,7
VI. Lãi/lỗ thuần từ hoạt động khác,11,-130,5,5,102
"VII. Thu nhập từ góp vốn, mua cổ phần",-4,-123,31,14,9
VIII. Chi phí hoạt động,"1,072","1,205","1,098",951,"1,183"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),702,50,"1,100",666,863
X. Chi phí dự phòng rủi ro tín dụng,114,852,207,42,164
XI. Tổng lợi nhuận trước thuế (IX-X),588,-802,893,624,700
7. Chi phí thuế TNDN hiện hành,177,69,217,151,191
8. Chi phí thuế TNDN hoãn lại,0,,,,
XII. Chi phí thuế TNDN,177,69,217,151,191
XIII. Lợi nhuận sau thuế (XI-XII),411,-871,676,473,509
XIV. Lợi ích của cổ đông thiểu số,0,0,0,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),411,-871,676,473,509
Lãi cơ bản trên cổ phiếu (BCTC),0,,694,,
