STB,Q2/2011,Q3/2011,Q4/2011,Q1/2012,Q2/2012
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"4,357","4,593","4,618","4,368","4,238"
2. Chi phí lãi và các chi phí tương tự,"3,049","3,043","2,952","2,838","2,738"
I. Thu nhập lãi thuần,"1,308","1,549","1,665","1,531","1,500"
3. Thu nhập từ hoạt động dịch vụ,335,317,568,315,347
4. Chi phí hoạt động dịch vụ,156,94,367,116,150
II. Lãi/lỗ thuần từ hoạt động dịch vụ,179,223,201,199,197
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,100,45,166,52,148
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,-116,7,-19,76,10
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-3,-1,-8,3,75
5. Thu nhập từ hoạt động khác,10,278,201,49,0
6. Chi phí hoạt động khác,-27,227,167,26,-2
VI. Lãi/lỗ thuần từ hoạt động khác,37,51,33,24,2
"VII. Thu nhập từ góp vốn, mua cổ phần",29,-69,-227,23,21
VIII. Chi phí hoạt động,746,991,"1,168",806,984
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),789,814,643,"1,101",968
X. Chi phí dự phòng rủi ro tín dụng,34,149,4,37,329
XI. Tổng lợi nhuận trước thuế (IX-X),755,665,639,"1,064",639
7. Chi phí thuế TNDN hiện hành,237,225,167,256,150
8. Chi phí thuế TNDN hoãn lại,2,0,0,0,0
XII. Chi phí thuế TNDN,239,225,167,256,150
XIII. Lợi nhuận sau thuế (XI-XII),516,439,472,808,489
XIV. Lợi ích của cổ đông thiểu số,-76,0,0,0,0
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),592,439,472,808,489
Lãi cơ bản trên cổ phiếu (BCTC),0,0,0,0,0
