STB,Q4/2008,Q1/2009,Q2/2009,Q3/2009,Q4/2009
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"1,813","1,551","1,656","1,868","2,140"
2. Chi phí lãi và các chi phí tương tự,"1,548","1,059","1,039","1,234","1,509"
I. Thu nhập lãi thuần,265,491,616,635,631
3. Thu nhập từ hoạt động dịch vụ,66,146,304,331,403
4. Chi phí hoạt động dịch vụ,-31,28,33,41,86
II. Lãi/lỗ thuần từ hoạt động dịch vụ,97,118,270,290,317
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,252,227,40,-32,79
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,3,-57,15,30,-8
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-85,-19,115,34,298
5. Thu nhập từ hoạt động khác,48,6,7,54,23
6. Chi phí hoạt động khác,25,11,20,29,93
VI. Lãi/lỗ thuần từ hoạt động khác,23,-5,-13,25,-70
"VII. Thu nhập từ góp vốn, mua cổ phần",96,7,24,17,40
VIII. Chi phí hoạt động,351,339,349,416,581
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),301,423,719,584,706
X. Chi phí dự phòng rủi ro tín dụng,9,31,100,61,91
XI. Tổng lợi nhuận trước thuế (IX-X),291,392,619,523,615
7. Chi phí thuế TNDN hiện hành,36,95,138,114,132
8. Chi phí thuế TNDN hoãn lại,,0,0,0,-4
XII. Chi phí thuế TNDN,36,95,138,114,128
XIII. Lợi nhuận sau thuế (XI-XII),256,297,482,409,487
XIV. Lợi ích của cổ đông thiểu số,,0,0,0,0
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),256,297,482,409,487
Lãi cơ bản trên cổ phiếu (BCTC),,"1,766","2,180",0,"2,784"
