Ngày,Thay đổi,Giao dịch ròng - Khối lượng,Giao dịch ròng - Giá trị (tỷ VNĐ),Mua - Khối lượng,Mua - Giá trị (tỷ VNĐ),Bán - Khối lượng,Bán - Giá trị (tỷ VNĐ),Room còn lại,Đang sở hữu
03/06/2021,153.9(1.25 %),"8,500",1.31,"239,000",36.57,"230,500",35.26,"237,941,179",62.9%
02/06/2021,152(-1.30 %),-800,-0.12,"113,100",17.26,"113,900",17.38,"237,949,679",62.89%
01/06/2021,154(-0.96 %),"1,150",1.79,"11,250",17.47,"10,100",15.68,"237,948,879",62.89%
31/05/2021,155.5(-3.72 %),"-38,000",-5.94,"56,600",8.84,"94,600",14.78,"238,067,769",62.88%
28/05/2021,161.5(-0.92 %),"45,400",7.41,"151,600",24.66,"106,200",17.26,"238,029,769",62.88%
27/05/2021,163(-0.49 %),"9,750",15.88,"28,590",46.58,"18,840",30.69,"238,048,079",62.88%
26/05/2021,163.8(3.74 %),"5,990",9.63,"7,750",12.45,"1,760",2.82,"238,127,379",62.87%
25/05/2021,157.9(2.60 %),"-2,370",-3.7,"11,680",18.3,"14,050",22,"238,122,779",62.87%
24/05/2021,153.9(2.46 %),"-13,400",-2.05,"123,800",19,"137,200",21.05,"238,208,869",62.85%
21/05/2021,150.2(-1.25 %),"-3,520",-5.28,"12,690",19.12,"16,210",24.39,"238,126,179",62.87%
20/05/2021,152.1(-0.91 %),"3,120",4.75,"20,620",31.36,"17,500",26.62,"238,081,779",62.87%
19/05/2021,153.5(-0.32 %),"-4,070",-6.25,"25,450",39.04,"29,520",45.29,"238,036,779",62.88%
18/05/2021,154(-0.32 %),"57,600",8.88,"208,900",32.22,"151,300",23.34,"238,150,769",62.86%
17/05/2021,154.5(-0.26 %),"-4,740",-7.35,"13,180",20.44,"17,920",27.78,"237,795,079",62.92%
14/05/2021,154.9(0.45 %),"-11,670",-18.06,"16,050",24.82,"27,720",42.88,"237,831,779",62.91%
13/05/2021,154.2(1.65 %),"-97,900",-14.98,"213,300",32.69,"311,200",47.67,"238,044,269",62.88%
12/05/2021,151.7(-0.33 %),"-40,000",-6.07,"5,100",0.77,"45,100",6.85,"237,946,369",62.9%
11/05/2021,152.2(1.13 %),"-15,300",-23.41,"8,500",13.01,"23,800",36.42,"237,572,279",62.95%
10/05/2021,150.5(-1.63 %),"-158,000",-23.91,"117,800",17.82,"275,800",41.72,"237,753,369",62.93%
07/05/2021,153(-1.92 %),"-3,550",-5.46,"9,110",13.94,"12,660",19.4,"237,251,379",63%
