GAS,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
10. Cổ phiếu ưu đãi (Nợ),,,,,
11. Thuế thu nhập hoãn lại phải trả,100,107,127,144,168
12. Dự phòng phải trả dài hạn,14,24,27,33,42
13. Quỹ phát triển khoa học và công nghệ,49,20,30,22,22
14. Dự phòng trợ cấp mất việc làm,,,,,
B. VỐN CHỦ SỞ HỮU,"41,371","43,160","45,778","44,994","44,257"
I. Vốn chủ sở hữu,"41,371","43,160","45,778","44,994","44,257"
1. Vốn góp của chủ sở hữu,"19,140","19,140","19,140","19,140","19,140"
- Cổ phiếu phổ thông có quyền biểu quyết,"19,140","19,140","19,140","19,140","19,140"
- Cổ phiếu ưu đãi,,,,,
2. Thặng dư vốn cổ phần,190,190,211,211,210
3. Quyền chọn chuyển đổi trái phiếu,,,,,
4. Vốn khác của chủ sở hữu,256,256,256,256,256
5. Cổ phiếu quỹ (*),-40,-40,,,
6. Chênh lệch đánh giá lại tài sản,,,,,
7. Chênh lệch tỷ giá hối đoái,,,,,
8. Quỹ đầu tư phát triển,"14,850","14,850","14,850","14,862","14,862"
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,6,6,6,6,6
11. Lợi nhuận sau thuế chưa phân phối,"5,285","7,011","9,528","8,707","8,020"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,931,949,"6,943","3,035","3,168"
- LNST chưa phân phối kỳ này,"4,354","6,062","2,585","5,672","4,852"
12. Nguồn vốn đầu tư XDCB,,,,,
13. Lợi ích cổ đông không kiểm soát,"1,685","1,748","1,788","1,812","1,762"
14. Quỹ dự phòng tài chính,,,,,
II. Nguồn kinh phí và quỹ khác,,,,,
1. Nguồn kinh phí,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,,
TỔNG CỘNG NGUỒN VỐN,"60,580","61,787","66,150","68,003","61,000"
