GAS,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"22,702","18,543","20,177","26,689","27,653"
2. Các khoản giảm trừ doanh thu,0,,0,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"22,702","18,543","20,177","26,689","27,653"
4. Giá vốn hàng bán,"18,919","15,136","16,650","21,553","20,741"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"3,782","3,407","3,527","5,136","6,912"
6.Doanh thu hoạt động tài chính,204,416,303,262,380
7. Chi phí tài chính,113,120,114,102,203
Trong đó :Chi phí lãi vay,70,85,97,82,91
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",4,6,6,-1,11
9. Chi phí bán hàng,491,468,639,601,541
10. Chi phí quản lý doanh nghiệp,438,160,528,351,175
11. Lợi nhuận thuần từ hoạt động kinh doanh,"2,948","3,082","2,554","4,342","6,384"
12. Thu nhập khác,1,3,6,42,18
13. Chi phí khác,17,1,10,3,1
14. Lợi nhuận khác,-15,2,-4,39,17
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"2,933","3,084","2,551","4,381","6,401"
16. Chi phí thuế TNDN hiện hành,620,623,483,881,"1,256"
17. Chi phí thuế TNDN hoãn lại,12,-2,38,5,3
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"2,301","2,464","2,029","3,495","5,141"
Lợi ích của cổ đông thiểu số,39,46,66,67,55
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"2,262","2,417","1,964","3,429","5,086"
19. Lãi cơ bản trên cổ phiếu (*),"1,058","1,242",999,"1,789","2,618"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
