Ngày,Thay đổi,Mua - Số lệnh,Mua - Khối lượng,Mua - KLTB 1 lệnh,Bán - Số lệnh,Bán - Khối lượng,Bán - KLTB 1 lệnh,Khối lượng ròng
23/05/2024,46.5 ( 0.22 %),"7,372","13,500,800","1,831.36","2,984","11,709,500","3,924","1,791,300"
22/05/2024,46.4 ( -1.69 %),"10,518","22,531,500","2,142.18","3,923","22,593,100","5,759","-61,600"
21/05/2024,47.2 ( -2.07 %),"8,522","16,894,600","1,982.47","3,364","18,315,300","5,445","-1,420,700"
20/05/2024,49.7 ( -0.1 %),"5,455","15,325,600","2,809.46","6,665","18,605,700","2,792","-3,280,100"
17/05/2024,49.75 ( -0.3 %),"4,671","13,002,600","2,783.69","4,634","13,730,400","2,963","-727,800"
16/05/2024,49.9 ( 3.74 %),"8,294","34,122,600","4,114.13","11,095","33,710,800","3,038","411,800"
15/05/2024,48.1 ( 0.42 %),"5,963","16,534,300","2,772.82","3,207","14,669,300","4,574","1,865,000"
14/05/2024,47.9 ( -1.03 %),"5,165","13,066,000","2,529.72","2,824","15,524,200","5,497","-2,458,200"
13/05/2024,48.4 ( -0.21 %),"3,855","11,206,300","2,906.95","3,154","13,900,000","4,407","-2,693,700"
10/05/2024,48.5 ( 0.1 %),"4,642","13,880,600","2,990.22","3,929","17,614,000","4,483","-3,733,400"
09/05/2024,48.45 ( 0.52 %),"3,978","15,920,200","4,002.06","5,129","19,579,600","3,817","-3,659,400"
08/05/2024,48.2 ( 0.63 %),"6,903","27,136,000","3,931.04","6,769","25,172,100","3,719","1,963,900"
07/05/2024,47.9 ( -0.93 %),"4,932","15,879,800","3,219.75","5,880","15,409,500","2,621","470,300"
06/05/2024,48.35 ( 0.31 %),"3,866","13,092,400","3,386.55","5,699","16,233,300","2,848","-3,140,900"
03/05/2024,48.2 ( 2.88 %),"4,718","20,240,700","4,290.1","8,640","25,376,900","2,937","-5,136,200"
02/05/2024,46.85 ( 0.54 %),"2,861","9,208,300","3,218.56","3,238","8,701,700","2,687","506,600"
26/04/2024,46.6 ( 0.98 %),"4,016","12,792,100","3,185.28","3,236","12,773,300","3,947","18,800"
25/04/2024,46.15 ( -1.81 %),"4,630","12,144,100","2,622.92","4,210","13,902,500","3,302","-1,758,400"
24/04/2024,47 ( 1.73 %),"2,509","12,500,600","4,982.3","5,101","16,740,200","3,282","-4,239,600"
23/04/2024,46.2 ( 2.1 %),"5,084","24,699,500","4,858.28","9,024","30,753,700","3,408","-6,054,200"
