Ngày,Thay đổi,Giao dịch ròng - Khối lượng,Giao dịch ròng - Giá trị (tỷ VNĐ),Mua - Khối lượng,Mua - Giá trị (tỷ VNĐ),Bán - Khối lượng,Bán - Giá trị (tỷ VNĐ),Room còn lại,Đang sở hữu
05/06/2023,21.65(0.23 %),"69,100",1.52,"679,600",14.84,"610,500",13.32,"1,439,668,532",24.24%
02/06/2023,21.6(0.93 %),"-610,900",-13.15,"174,700",3.78,"785,600",16.93,"1,439,737,632",24.24%
01/06/2023,21.4(0.94 %),"-395,500",-8.33,"1,205,200",25.53,"1,600,700",33.86,"1,439,126,732",24.25%
31/05/2023,21.2(-0.70 %),"-2,262,200",-48.07,"459,300",9.74,"2,721,500",57.81,"1,444,073,673",24.17%
30/05/2023,21.35(-0.47 %),"-1,048,600",-22.39,"1,335,900",28.59,"2,384,500",50.99,"1,441,811,473",24.2%
29/05/2023,21.45(1.66 %),"702,800",15.02,"1,398,700",29.88,"695,900",14.85,"1,440,762,873",24.22%
26/05/2023,21.1(-0.47 %),"-1,575,100",-33.24,"1,568,300",33.13,"3,143,400",66.36,"1,441,465,673",24.21%
25/05/2023,21.2(-0.47 %),"-2,449,200",-52.07,"1,705,600",36.31,"4,154,800",88.37,"1,439,890,573",24.24%
24/05/2023,21.3(-1.84 %),"-6,199,200",-133.8,"2,081,100",44.93,"8,280,300",178.73,"1,437,441,373",24.28%
23/05/2023,21.7(-0.91 %),"-2,670,900",-58.15,"398,100",8.68,"3,069,000",66.83,"1,431,242,173",24.39%
22/05/2023,21.9(0.46 %),"-2,366,900",-51.75,"308,200",6.75,"2,675,100",58.5,"1,428,571,273",24.43%
19/05/2023,21.8(-0.68 %),"-1,596,600",-34.88,"246,000",5.37,"1,842,600",40.25,"1,426,204,373",24.47%
18/05/2023,21.95(0.69 %),"7,849,300",172.68,"8,741,800",192.25,"892,500",19.57,"1,424,607,773",24.5%
17/05/2023,21.8(-0.91 %),"9,824,600",215.59,"10,050,100",220.53,"225,500",4.94,"1,432,457,073",24.37%
16/05/2023,22(-0.45 %),"2,592,900",57.56,"2,810,800",62.39,"217,900",4.83,"1,442,281,673",24.2%
15/05/2023,22.1(-1.12 %),"-632,500",-14.12,"347,300",7.75,"979,800",21.86,"1,444,874,573",24.15%
12/05/2023,22.35(2.52 %),"1,688,300",37.83,"2,080,700",46.48,"392,400",8.66,"1,444,242,073",24.16%
11/05/2023,21.75(0.23 %),"664,700",14.44,"1,102,200",23.96,"437,500",9.52,"1,445,864,832",24.13%
10/05/2023,21.7(-0.46 %),"-370,400",-8.05,"87,400",1.9,"457,800",9.95,"1,446,083,285",24.13%
09/05/2023,21.8(0.93 %),"1,124,700",24.76,"2,185,100",47.93,"1,060,400",23.17,"1,445,712,885",24.14%
