MSN,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"3,626","6,998","8,928","11,772","9,220"
2. Các khoản giảm trừ doanh thu,42,169,213,272,452
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"3,584","6,829","8,715","11,500","8,769"
4. Giá vốn hàng bán,"2,401","4,488","6,119","7,811","6,356"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"1,183","2,341","2,596","3,688","2,412"
6.Doanh thu hoạt động tài chính,143,408,348,482,218
7. Chi phí tài chính,519,650,819,727,733
Trong đó :Chi phí lãi vay,0,,,726,688
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",103,149,127,120,143
9. Chi phí bán hàng,432,"1,109","1,097","1,407",998
10. Chi phí quản lý doanh nghiệp,320,387,446,512,520
11. Lợi nhuận thuần từ hoạt động kinh doanh,158,752,710,"1,646",523
12. Thu nhập khác,12,11,9,2,2
13. Chi phí khác,13,11,36,14,10
14. Lợi nhuận khác,-1,0,-27,-11,-8
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,0,,,,
15. Tổng lợi nhuận kế toán trước thuế,158,752,683,"1,635",515
16. Chi phí thuế TNDN hiện hành,129,168,204,316,172
17. Chi phí thuế TNDN hoãn lại,-28,-32,-15,-43,-50
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,57,615,493,"1,361",393
Lợi ích của cổ đông thiểu số,53,256,273,467,140
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,4,359,221,894,253
19. Lãi cơ bản trên cổ phiếu (*),6,481,294,"1,188",335
20. Lãi suy giảm trên cổ phiếu (*),0,,,,
