MSN,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"9,692","10,538","8,631","9,408","9,451"
2. Các khoản giảm trừ doanh thu,259,369,357,223,279
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"9,433","10,169","8,274","9,184","9,171"
4. Giá vốn hàng bán,"6,526","6,776","5,512","6,377","6,398"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"2,906","3,393","2,762","2,808","2,774"
6.Doanh thu hoạt động tài chính,89,"1,045",86,"1,547",125
7. Chi phí tài chính,777,"1,070",781,791,840
Trong đó :Chi phí lãi vay,735,913,757,743,757
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",554,812,517,470,442
9. Chi phí bán hàng,"1,207","1,267",957,"1,018",934
10. Chi phí quản lý doanh nghiệp,462,550,452,479,451
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,102","2,363","1,174","2,536","1,116"
12. Thu nhập khác,4,6,8,6,3
13. Chi phí khác,15,27,10,7,21
14. Lợi nhuận khác,-10,-21,-2,-1,-18
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"1,092","2,342","1,172","2,535","1,097"
16. Chi phí thuế TNDN hiện hành,152,238,140,181,173
17. Chi phí thuế TNDN hoãn lại,-8,-38,10,-41,6
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,948,"2,141","1,022","2,396",918
Lợi ích của cổ đông thiểu số,191,252,206,181,170
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,758,"1,890",816,"2,215",748
19. Lãi cơ bản trên cổ phiếu (*),655,"1,734",779,"2,114",710
20. Lãi suy giảm trên cổ phiếu (*),,,,,
