MSN,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"4,477","2,754","4,189","4,056","5,347"
2. Các khoản giảm trừ doanh thu,40,39,65,62,91
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"4,437","2,715","4,124","3,994","5,256"
4. Giá vốn hàng bán,"2,450","1,632","2,579","2,363","2,915"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"1,987","1,083","1,545","1,631","2,341"
6.Doanh thu hoạt động tài chính,345,193,79,80,"1,218"
7. Chi phí tài chính,328,317,565,405,425
Trong đó :Chi phí lãi vay,0,,,,
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,658,618,722,642,883
10. Chi phí quản lý doanh nghiệp,326,249,257,258,284
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,020",92,81,407,"1,967"
12. Thu nhập khác,7,12,84,33,276
13. Chi phí khác,26,6,69,45,40
14. Lợi nhuận khác,-19,6,16,-12,237
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,-60,39,2,-49,-46
15. Tổng lợi nhuận kế toán trước thuế,941,138,98,346,"2,158"
16. Chi phí thuế TNDN hiện hành,272,117,212,42,587
17. Chi phí thuế TNDN hoãn lại,-18,-2,-47,71,-278
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,687,23,-67,233,"1,848"
Lợi ích của cổ đông thiểu số,509,130,160,205,463
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,179,-107,-227,28,"1,385"
19. Lãi cơ bản trên cổ phiếu (*),250,-143,-304,38,"1,855"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
